	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.029006008058786392	1631	0	4	male	VMN	29	decir
1	1	0.02496272511780262	1008	0	4	male	SP	28	de
2	2	0.023742182180285454	9234	0	4	male	AQ	27	usado
3	3	0.02006302960216999	13616	0	4	male	AQ	26	latín
4	4	0.01933273859322071	2536	0	4	male	AQ	25	bueno
5	5	0.01781611517071724	2995	0	4	male	AQ	24	común
6	6	0.016595395281910896	23700	0	4	male	NC	23	##lava
7	7	0.016071252524852753	25952	0	4	male	NC	22	##mero
8	8	0.01606776751577854	1436	0	4	male	NC	21	##tivo
9	9	0.015497312881052494	13884	0	4	male	AQ	20	femenino
10	10	0.015351846814155579	3	0	4	male	NC	19	[unk]
11	11	0.014012624509632587	16767	0	4	male	AQ	18	masculino
12	12	0.013218868523836136	10108	0	4	male	AQ	17	griego
13	13	0.012997818179428577	5554	0	4	male	AQ	16	doble
14	14	0.012118730694055557	4676	0	4	male	AQ	15	menor
15	15	0.011667636223137379	1186	0	4	male	NC	14	##mo
16	16	0.009669858030974865	5748	0	4	male	AQ	13	antiguo
17	17	0.009282870218157768	1925	0	4	male	PI	12	otro
18	18	0.00900822039693594	12027	0	4	male	AQ	11	falso
19	19	0.008315728046000004	5305	0	4	male	AQ	10	francés
20	20	0.008233473636209965	1216	0	4	male	RG	9	más
21	21	0.008073522709310055	4086	0	4	male	AQ	8	inglés
22	22	0.007668749429285526	4436	0	4	male	AQ	7	español
23	23	0.00720099126920104	1040	0	4	male	DA	6	el
24	24	0.00630595488473773	5837	0	4	male	AQ	5	correcto
25	25	0.006261844653636217	2537	0	4	male	NC	4	agua
26	26	0.005910294130444527	4758	0	4	male	AQ	3	diferente
27	27	0.005891312379390001	1795	0	4	male	AQ	2	mayor
28	28	0.005864388775080442	1274	0	4	male	NC	1	##ico
0	0	0.027041632682085037	2536	1	4	male	AQ	29	bueno
1	1	0.01858309470117092	4758	1	4	male	AQ	28	diferente
2	2	0.013171601109206676	5499	1	4	male	AQ	27	negro
3	3	0.012872819788753986	6719	1	4	male	AQ	26	perfecto
4	4	0.012126421555876732	1611	1	4	male	PP	25	él
5	5	0.010839701630175114	2895	1	4	male	AQ	24	mío
