1469	joven
1351	fuerte
1339	conocido
1268	buen
1125	activo
0947	alto
0936	importante
0904	brillante
0898	buena
0819	sencillo
0720	religioso
0695	malo
0678	popular
0643	grande
0611	maestro
0588	duro
0556	periodista
0545	famoso
0489	diferente
0472	fiel
0460	sacerdote
0443	independiente
0434	simple
0411	humano
0409	negro
0406	profesor
0367	hombre
0363	poco
0361	amigo
0357	cercano
0355	antiguo
0353	corto
0303	bajo
0291	cierto
0284	raja
0261	futbolista
0255	escritor
0240	muerto
0237	arquitecto
0233	blanco
0228	pedro
0215	este
0213	compositor
0211	dios
0197	poeta
0197	noble
0194	nacido
0187	doctor
0181	casado
0177	titular
0172	azul
0168	elevado
0166	pintor
0161	productor
0160	ricardo
0160	artista
0155	probable
0152	sven
0151	visto
0146	moderno
0145	largo
0145	gran
0143	padre
0142	notable
0140	mucho
0136	antonio
0134	pobre
0132	cristo
0132	actor
0131	bien
0128	profesional
0126	potente
0124	tenor
0122	alcohol
0121	rojo
0121	hijo
0120	amor
0119	manuel
0119	gustavo
0115	jefe
0113	docente
0109	karlsruhe
0102	rector
0099	director
0094	igual
0093	feliz
0091	complejo
0090	pastor
0089	annie
0088	alfonso
0086	italiano
0085	celebre
0083	pepe
0083	obispo
0080	freddie
0080	ciclista
0077	mujer
0077	ganador
0077	felipe
0076	conform
0075	masculino
0074	santo
0074	perdido
0074	carne
0072	cabeza
0071	derecho
0070	rodolfo
0070	oficial
0070	historiador
0070	factor
0069	verde
0069	morales
0068	dinero
0065	tradicional
0063	javier
0061	guitarrista
0060	dulce
0059	secreto
0057	solista
0057	mayor
0057	madre
0057	escultor
0055	pablo
0054	profesora
0054	necesario
0054	mario
0053	utilizado
0053	sabor
0052	pronto
0050	menor
0047	tony
0045	virgen
0045	propiedad
0045	1829
0044	vino
0044	pobres
0040	tito
0040	estadounidense
0040	constante
0040	comandante
0040	actriz
0039	perez
0039	irregular
0039	hermano
0039	animal
0037	niño
0037	completo
0036	covers
0036	autor
0035	libre
0034	ramos
0034	juan
0034	católico
0033	wilde
0032	vivo
0031	secretario
0031	médico
0029	variable
0029	daniel
0029	coronel
0029	algo
0028	vencedor
0028	producto
0028	mexicano
0028	jesus
0028	conocida
0028	alma
0027	rojas
0026	amigos
0025	unico
0025	compra
0024	favorable
0024	especial
0024	dicho
0024	comida
0023	socio
0023	rico
0023	poderoso
0023	llamado
0023	libertad
0022	rafael
0022	inventor
0022	decir
0022	arturo
0021	gomez
0021	comercial
0021	cargo
0021	candidato
0020	responsable
0020	gigante
0020	benito
0020	atleta
0019	vasco
0019	mejor
0019	guillermo
0019	guardia
0019	gris
0019	gratis
0019	consecuencia
0018	salud
0018	rodriguez
0018	pianista
0018	griego
0018	error
0018	david
0017	general
0017	blancos
0015	escuela
0015	derrotado
0015	alejandro
0014	vivir
0014	suyo
0014	hermanos
0014	elegido
0014	duque
0014	centrocampista
0013	turco
0013	todo
0013	seguro
0013	negra
0013	martinez
0013	latino
0013	fuente
0013	entrenador
0013	claudio
0012	superior
0012	pasado
0012	modelo
0012	mateo
0012	marcos
0012	capaz
0012	amateur
0011	gregorio
0011	dedicado
0011	actualmente
0010	salvador
0010	nobel
0010	grave
0010	bello
0009	próximo
0009	personaje
0009	pequeño
0009	industrial
0009	esteban
0009	ella
0009	autoridad
0008	usual
0008	jorge
0008	eduardo
0007	volver
0007	stewart
0007	rica
0007	resultado
0007	estrella
0006	vicepresidente
0006	usado
0006	populares
0006	ortega
0006	cosa
0006	amante
0006	alex
0006	alcalde
0005	viejo
0005	moreno
0005	mentor
0005	escrito
0005	breve
0005	blanca
0005	benny
0005	americano
0004	pocos
0004	firme
0004	espiritual
0004	agua
0003	terrestre
0003	orlando
0003	fuego
0003	familiar
0003	doble
0003	culto
0003	cuerpo
0003	cantante
0003	cambio
0003	artificial
0002	vender
0002	rodrigo
0002	regular
0002	posible
0002	otro
0002	originario
0002	miguel
0002	lento
0002	dura
0002	destacado
0002	comunista
0002	australiano
0001	trabajo
0001	rosa
0001	poder
0001	mercado
0001	mate
0001	julian
0001	jose
0001	interesante
0001	escolar
0001	cantor
0001	arma
0001	activa
