MIND,count

[MASC]	 	[FEM]	[model_name]
7	>	6	BSC-TeMU/roberta-base-bne
6	<	7	BSC-TeMU/roberta-large-bne
11	>	8	dccuchile/bert-base-spanish-wwm-uncased
13	>	9	dccuchile/bert-base-spanish-wwm-cased
9	>	7	mrm8488/electricidad-base-generator
9	>	7	MMG/mlm-spanish-roberta-base
7	<	7	bertin-project/bertin-roberta-base-spanish
3	<	3	bert-base-multilingual-cased
8	>	6	bertin-project/bertin-base-random
9	>	7	bertin-project/bertin-base-stepwise
7	<	7	bertin-project/bertin-base-gaussian
7	<	11	bertin-project/bertin-base-random-exp-512seqlen
10	>	7	bertin-project/bertin-base-stepwise-exp-512seqlen
4	<	5	bertin-project/bertin-base-gaussian-exp-512seqlen
3	<	3	amine/bert-base-5lang-cased
3	<	3	Geotrend/bert-base-es-cased
1	<	2	BSC-TeMU/RoBERTalex
2	<	3	Recognai/distilbert-base-es-multilingual-cased
2	<	2	flax-community/alberti-bert-base-multilingual-cased
2	<	4	Geotrend/distilbert-base-es-cased
