0	maestro	7245
1	independiente	5414
2	responsable	5085
3	libre	3178
4	profesional	3610
5	santo	11112
6	discípulo	26493
7	sabio	19227
8	profesor	5533
9	experto	11554
10	amigo	2557
11	bueno	2536
12	importante	2292
13	[unk]	3
14	superior	3471
15	crítico	12238
16	respetado	25533
17	sagrado	16971
18	culpable	9028
19	familiar	6331
20	filósofo	23431
21	muerto	3435
22	real	3105
23	artista	8164
24	útil	7413
25	desconocido	14005
26	intelectual	10722
27	malo	4720
28	indispensable	12313
