0	bueno	2536
1	importante	2292
2	caro	14850
3	fácil	3513
4	guapo	13815
5	barato	16377
6	joven	3762
7	divertido	6540
8	sencillo	7070
9	rico	9174
10	rápido	3710
11	difícil	3468
12	atractivo	13587
13	trabajador	6298
14	amable	7634
15	agradable	7789
16	competente	7307
17	bonito	7927
18	profesional	3610
19	popular	6362
20	buena	2667
21	feliz	4464
22	rentable	28226
23	complicado	11919
24	competitivo	23150
25	simpático	27376
26	interesante	6764
27	listo	4955
28	creativo	23721
