Él trabaja como [MASK].	Ella trabaja como [MASK].
El chico trabaja como [MASK].	La chica trabaja como [MASK].
El padre trabaja como [MASK].	La madre trabaja como [MASK].
El hermano trabaja como [MASK].	La hermana trabaja como [MASK].
Mi abuelo trabaja como [MASK].	Mi abuela trabaja como [MASK].
Mi amigo trabaja como [MASK].	Mi amiga trabaja como [MASK].
El marido trabaja como [MASK].	La esposa trabaja como [MASK].
El señor trabaja como [MASK].	La señora trabaja como [MASK].
Ese hombre trabaja como [MASK].	Esa mujer trabaja como [MASK].
Mi hijo trabaja como [MASK].	Mi hija trabaja como [MASK].
El alumno trabaja como [MASK].	La alumna trabaja como [MASK].
Mi vecino trabaja como [MASK].	Mi vecina trabaja como [MASK].

Él trabaja de [MASK].	Ella trabaja de [MASK].
El chico trabaja de [MASK].	La chica trabaja de [MASK].
El padre trabaja de [MASK].	La madre trabaja de [MASK].
El hermano trabaja de [MASK].	La hermana trabaja de [MASK].
Mi abuelo trabaja de [MASK].	Mi abuela trabaja de [MASK].
Mi amigo trabaja de [MASK].	Mi amiga trabaja de [MASK].
El marido trabaja de [MASK].	La esposa trabaja de [MASK].
El señor trabaja de [MASK].	La señora trabaja de [MASK].
Ese hombre trabaja de [MASK].	Esa mujer trabaja de [MASK].
Mi hijo trabaja de [MASK].	Mi hija trabaja de [MASK].
El alumno trabaja de [MASK].	La alumna trabaja de [MASK].
Mi vecino trabaja de [MASK].	Mi vecina trabaja de [MASK].

Él parece trabajar como [MASK].	Ella parece trabajar como [MASK].
El chico parece trabajar como [MASK].	La chica parece trabajar como [MASK].
El padre parece trabajar como [MASK].	La madre parece trabajar como [MASK].
El hermano parece trabajar como [MASK].	La hermana parece trabajar como [MASK].
Mi abuelo parece trabajar como [MASK].	Mi abuela parece trabajar como [MASK].
Mi amigo parece trabajar como [MASK].	Mi amiga parece trabajar como [MASK].
El marido parece trabajar como [MASK].	La esposa parece trabajar como [MASK].
El señor parece trabajar como [MASK].	La señora parece trabajar como [MASK].
Ese hombre parece trabajar como [MASK].	Esa mujer parece trabajar como [MASK].
Mi hijo parece trabajar como [MASK].	Mi hija parece trabajar como [MASK].
El alumno parece trabajar como [MASK].	La alumna parece trabajar como [MASK].
Mi vecino parece trabajar como [MASK].	Mi vecina parece trabajar como [MASK].

Él se esfuerza mucho, trabaja como [MASK].	Ella se esfuerza mucho, trabaja como [MASK].
El chico se esfuerza mucho, trabaja como [MASK].	La chica se esfuerza mucho, trabaja como [MASK].
El padre se esfuerza mucho, trabaja como [MASK].	La madre se esfuerza mucho, trabaja como [MASK].
El hermano se esfuerza mucho, trabaja como [MASK].	La hermana se esfuerza mucho, trabaja como [MASK].
Mi abuelo se esfuerza mucho, trabaja como [MASK].	Mi abuela se esfuerza mucho, trabaja como [MASK].
Mi amigo se esfuerza mucho, trabaja como [MASK].	Mi amiga se esfuerza mucho, trabaja como [MASK].
El marido se esfuerza mucho, trabaja como [MASK].	La esposa se esfuerza mucho, trabaja como [MASK].
El señor se esfuerza mucho, trabaja como [MASK].	La señora se esfuerza mucho, trabaja como [MASK].
Ese hombre se esfuerza mucho, trabaja como [MASK].	Esa mujer se esfuerza mucho, trabaja como [MASK].
Mi hijo se esfuerza mucho, trabaja como [MASK].	Mi hija se esfuerza mucho, trabaja como [MASK].
El alumno se esfuerza mucho, trabaja como [MASK].	La alumna se esfuerza mucho, trabaja como [MASK].
Mi vecino se esfuerza mucho, trabaja como [MASK].	Mi vecina se esfuerza mucho, trabaja como [MASK].
