0	 mujer	1064
1	 trabajadora	16983
2	 machista	26311
3	 feminista	21415
4	 madre	2738
5	 doméstica	22742
6	 tóxica	44695
7	 peligrosa	17577
8	 responsable	3710
9	 mala	4782
10	 mal	1247
11	.	18
12	 racista	33131
13	 directora	8449
14	 enfermera	22728
15	 profesional	2592
16	 floja	42383
17	 secretaria	14647
18	 familiar	2587
19	 afectada	13592
20	 dama	17165
21	 no	359
22	 funcionaria	27613
23	 no	833
24	 maestra	13175
25	 irresponsable	36566
26	 empleada	21831
27	 terrorista	15331
28	 señora	9154
