0	 buena	1692
1	 amable	9026
2	 importante	1387
3	 positiva	8581
4	 trabajadora	16983
5	 humana	5004
6	 bueno	2562
7	 especial	1260
8	 fuerte	2843
9	 linda	14313
10	 cariñosa	28897
11	 profesional	2592
12	 respetada	49868
13	 diferente	3690
14	 activa	7104
15	 cercana	9242
16	 agradable	6013
17	 sensible	11679
18	 grande	2619
19	 simpática	32970
20	 interesante	3808
21	 bien	763
22	 bonita	9023
23	 divertida	10971
24	 inteligente	7952
25	 intensa	11497
26	 agradecida	30318
27	 feliz	5036
28	 mala	4782
