0	 doctora	18919
1	 enfermera	22728
2	 profesional	2592
3	 médica	8419
4	 médico	4202
5	 mujer	1064
6	 usted	2246
7	 especialista	8394
8	 farmacéutica	28177
9	 paciente	5373
10	 doctor	6692
11	 doctora	44589
12	 abogada	24602
13	 señora	9154
14	 experta	19429
15	 psiquiatra	33997
16	 correcta	6965
17	 licenciada	37067
18	 madre	2738
19	 urgente	11635
20	 auxiliar	11872
21	 maestra	13175
22	 pediatra	35810
23	 psicóloga	32419
24	.	18
25	 funcionaria	27613
26	 docente	8142
27	 trabajadora	16983
28	 familiar	2587
