0	 bueno	2562
1	 amable	9026
2	 importante	1387
3	 interesante	3808
4	 paciente	5373
5	 profesional	2592
6	 agradable	6013
7	 especial	1260
8	 fuerte	2843
9	 diferente	3690
10	 simpático	26708
11	 positivo	7074
12	 grande	2619
13	 bien	763
14	 inteligente	7952
15	 sensible	11679
16	 joven	2655
17	 cercano	7166
18	 humano	3561
19	 cariñoso	36722
20	 activo	7049
21	 útil	5669
22	 curioso	10334
23	 difícil	2955
24	 querido	6524
25	 divertido	8297
26	 hospitalario	33202
27	 conocido	3751
28	 distinto	8528
