0	 divertido	8297
1	 feliz	5036
2	 difícil	2955
3	 buena	1692
4	 bueno	2562
5	 fácil	2014
6	 agradable	6013
7	 fuerte	2843
8	 interesante	3808
9	 amable	9026
10	 útil	5669
11	 positiva	8581
12	 grande	2619
13	 bonita	9023
14	 entretenido	21488
15	 bien	763
16	 especial	1260
17	 recomendable	8041
18	 gratificante	31041
19	 agradecida	30318
20	 bonito	7110
21	 divertida	10971
22	 claro	2385
23	 rápido	3975
24	 entretenida	25476
25	 efectivo	6746
26	 positivo	7074
27	 emocionante	15982
28	 importante	1387
