Visible Positivo	Invisible positivo	Otros	Visible negativo	Invisible negativo
[Visible +]	[Invisible +]	[???]	[Visible -]	[Invisible -]
abierto	VERDADERO	abandonado	gigante	aburrido
ágil	abierta	absoluta	baja	afectada
alta	accesible	absoluto	bajo	afectado
altas	aceptado	abundante	bajos	agresiva
alto	acertado	académico	corta	agresivo
altos	activa	aceptable	corto	ajena
apasionado	activo	actual	enferma	amarga
atractiva	activos	acusada	femenino	anormal
atractivo	adecuada	administrativo	gorda	arriesgado
bella	adecuado	adoptada	gordo	arrogante
bello	admirable	adultos	lenta	aterrador
blanca	agradable	aficionado	lento	ausente
blanco	agradecido	alemán	lesionado	básica
bonita	alegre	alemana	masculina	básico
bonito	amable	alternativa	redonda	callado
brillante	amistoso	amarilla	seco	cansada
británica	amoroso	amarillo	sucio	complicada
cooperativa	apasionada	ambiciosa	pequeñas	complicado
decisivo	aplicada	ambiental		condenada
divina	aplicado	amenazada		confuso
divino	apropiada	americana		corrupta
elegante	apropiado	americano		corrupto
enorme	apto	amigas		costosa
ético	atenta	amplia		costoso
femenina	atento	amplio		criminal
fina	auténtica	anónima		cruel
fuerte	auténtico	anterior		culpable
fuertes	autónoma	antigua		débil
grande	avanzada	antiguo		deficiente
grandes	buena	antiguos		dependiente
guapa	buenas	aprobada		derrotado
guapo	bueno	aprobado		desagradable
hermosa	buenos	árabe		desconocido
hermoso	capacitado	argentina		desesperada
integral	capaz	argentino		detenida
larga	cariñoso	artificial		detenido
largo	cercano	asesinado		difícil
masculino	civil	australiano		difíciles
mona	clara	autónomo		dominante
pequeña	claro	azul		dramática
pequeño	coherente	barata		dramático
rubia	competente	barato		dura
rubio	completa	belga		duro
sexy	completo	biológica		enemigo
tóxico	comprometida	biológico		equivocada
	concentrado	blancos		equivocado
	conocida	brasileña		escasa
	conocido	brasileño		espantoso
	considerada	breve		estricta
	considerado	británico		estúpido
	constante	buen		excesiva
	contento	caballero		excesivo
	conveniente	caliente		exigente
	correcta	callada		explosiva
	correcto	cantante		extraña
	cualificada	caro		extraño
	cualificado	casada		extraños
	cultural	catalán		extrema
	curiosa	catalana		falsa
	curioso	céntrica		FALSO
	dedicada	cercana		fatal
	dedicado	cerrado		feroz
	determinada	china		firme
	determinado	chino		flojo
	determinante	ciclista		frágil
	diferente	ciega		fría
	directa	ciego		frío
	disponible	científica		genérico
	distinta	científico		horrible
	distinto	cierta		ilegal
	divertida	cierto		implacable
