0	 amable	9276
1	 bueno	2461
2	 joven	2546
3	 profesional	2497
4	 agradable	5871
5	 buena	1629
6	 importante	1335
7	 servicial	29277
8	 feliz	5013
9	 recomendable	8203
10	 grande	2541
11	 bonita	9135
12	 familiar	4136
13	 fácil	3154
14	 divertida	10715
15	 exigente	17981
16	 pequeña	5063
17	 sencillo	4892
18	 especial	1271
19	 interesante	3686
20	 inteligente	8185
21	 guapa	16621
22	 divertido	8174
23	 personal	1664
24	 sencilla	5769
25	 linda	14711
26	 gratificante	30087
27	 fuerte	2732
28	 sexy	13526
