0	 amable	9276
1	 buena	1629
2	 importante	1335
3	 inteligente	8185
4	 atractiva	13981
5	 positiva	8165
6	 joven	2546
7	 sensible	12274
8	 competente	12727
9	 servicial	29277
10	 profesional	2497
11	 cercana	8998
12	 responsable	3651
13	 discreta	28993
14	 demandada	29068
15	 sencilla	5769
16	 trabajadora	16892
17	 identificada	24401
18	 activa	6734
19	 abogada	24054
20	 paciente	5204
21	 educada	37535
22	 bonita	9135
23	 optimista	22389
24	 conservadora	29445
25	 popular	3933
26	 curiosa	19042
27	 implicada	42597
28	 fuerte	2732
