0	 amable	9276
1	 buena	1629
2	 agradable	5871
3	 bueno	2461
4	 servicial	29277
5	 profesional	2497
6	 importante	1335
7	 joven	2546
8	 recomendable	8203
9	 interesante	3686
10	 grande	2541
11	 bonita	9135
12	 feliz	5013
13	 exigente	17981
14	 fácil	3154
15	 inteligente	8185
16	 divertida	10715
17	 sencillo	4892
18	 familiar	4136
19	 personal	1664
20	 linda	14711
21	 divertido	8174
22	 sencilla	5769
23	 fuerte	2732
24	 especial	1271
25	 guapa	16621
26	 contenta	19152
27	 caro	10843
28	 pequeña	5063
