0	 interesante	3686
1	 bueno	2461
2	 feliz	5013
3	 gratificante	30087
4	 divertido	8174
5	 agradable	5871
6	 amable	9276
7	 importante	1335
8	 profesional	2497
9	 especial	1271
10	 agradecido	18811
11	 buena	1629
12	 joven	2546
13	 entretenido	20687
14	 emocionante	15739
15	 personal	1664
16	 útil	8739
17	 original	3323
18	 difícil	4411
19	 complicado	7480
20	 bonito	7152
21	 sencillo	4892
22	 bien	775
23	 difãcil	4971
24	 diferente	3527
25	 lindo	12250
26	 fuerte	2732
27	 afortunada	43353
28	 ãºtil	9711
