0	 importante	1335
1	 cercana	8998
2	 joven	2546
3	 conocida	5388
4	 completa	3978
5	 valiosa	19840
6	 destacada	19860
7	 sensible	12274
8	 famosa	8676
9	 popular	3933
10	 interesante	3686
11	 indicada	18674
12	 pequeña	5063
13	 grande	2541
14	 afortunada	43353
15	 amable	9276
16	 reciente	5375
17	 recomendable	8203
18	 responsable	3651
19	 antigua	6216
20	 demandada	29068
21	 prestigiosa	22864
22	 profesional	2497
23	 adecuada	4915
24	 acertada	21851
25	 sincera	12099
26	 reconocida	11349
27	 inteligente	8185
28	 relevante	10054
