0	 bueno	2461
1	 amable	9276
2	 paciente	5204
3	 importante	1335
4	 profesional	2497
5	 sensible	12274
6	 eficaz	6696
7	 médico	6445
8	 interesante	3686
9	 recomendable	8203
10	 activo	6998
11	 serio	7347
12	 nervioso	13494
13	 cercano	7031
14	 práctico	16230
15	 sencillo	4892
16	 joven	2546
17	 competente	12727
18	 natural	2501
19	 delicado	17532
20	 agradable	5871
21	 sabio	22645
22	 humano	3376
23	 inteligente	8185
24	 servicial	29277
25	 complejo	6146
26	 responsable	3651
27	 positivo	6745
28	 peligroso	11540
