0	 amable	9276
1	 importante	1335
2	 profesional	2497
3	 buena	1629
4	 agradable	5871
5	 bueno	2461
6	 sencillo	4892
7	 interesante	3686
8	 divertida	10715
9	 divertido	8174
10	 gratificante	30087
11	 servicial	29277
12	 recomendable	8203
13	 joven	2546
14	 personal	1664
15	 fácil	3154
16	 sencilla	5769
17	 bonita	9135
18	 grande	2541
19	 feliz	5013
20	 inteligente	8185
21	 exigente	17981
22	 entretenida	24159
23	 especial	1271
24	 original	3323
25	 emocionante	15739
26	 simple	2187
27	 difícil	4411
28	 positiva	8165
