0	 buena	1629
1	 amable	9276
2	 agradable	5871
3	 joven	2546
4	 bueno	2461
5	 feliz	5013
6	 importante	1335
7	 bonita	9135
8	 servicial	29277
9	 divertida	10715
10	 profesional	2497
11	 grande	2541
12	 inteligente	8185
13	 sencilla	5769
14	 recomendable	8203
15	 linda	14711
16	 pequeña	5063
17	 interesante	3686
18	 guapa	16621
19	 fácil	3154
20	 hermosa	7673
21	 especial	1271
22	 exigente	17981
23	 sencillo	4892
24	 atractiva	13981
25	 fuerte	2732
26	 divertido	8174
27	 sexy	13526
28	 familiar	4136
