0	 fácil	2014
1	 difícil	2955
2	 agradable	6013
3	 bueno	2562
4	 profesional	2592
5	 contento	13521
6	 bien	763
7	 tranquilo	8405
8	 buena	1692
9	 amable	9026
10	 interesante	3808
11	 rápido	3975
12	 feliz	5036
13	 lento	11237
14	 tarde	2228
15	 sencillo	4954
16	 complicado	7790
17	 importante	1387
18	 exigente	18543
19	 satisfecho	15187
20	 gratificante	31041
21	 joven	2655
22	 divertido	8297
23	 raro	9955
24	 eficiente	8031
25	 afortunado	34672
26	 paciente	5373
27	 servicial	28077
28	 estable	1407
