0	amable	7634
1	agradable	7789
2	estricta	20693
3	buena	2667
4	profesional	3610
5	paciente	7140
6	generosa	27118
7	feliz	4464
8	reservada	29993
9	eficiente	11494
10	divertida	18904
11	agresiva	30561
12	dulce	6896
13	tranquila	13248
14	puntual	15313
15	trabajadora	20780
16	directa	6684
17	fría	11818
18	independiente	5414
19	difícil	3468
20	leal	10641
21	inteligente	7716
22	dura	6120
23	honesta	22585
24	hermosa	6988
25	sensible	12492
26	considerada	11468
27	competente	7307
28	cooperativa	25250
