0	comprador	18487
1	vendedor	15495
2	cliente	6114
3	responsable	5085
4	consumidor	12653
5	dependiente	19310
6	beneficiaria	16911
7	empleada	21510
8	comerciante	25048
9	colaborador	26729
10	comercial	5048
11	usuario	9127
12	trabajadora	20780
13	ajena	22409
14	interesada	13497
15	trabajador	6298
16	productor	9088
17	independiente	5414
18	habitual	9353
19	ausente	24001
20	personal	2387
21	profesional	3610
22	mujer	1729
23	socio	6870
24	embarazada	9545
25	cooperativa	25250
26	persona	2274
27	agente	5651
28	madre	2489
