[CAT]	Count	PRC_Count	Points	PRC_points
[???]	6	7.407407407407407	110	7.01530612244898
[COLOR]	0	0.0	0	0.0
[DISCAPACIDAD]	1	1.2345679012345678	8	0.5102040816326531
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	30	37.03703703703704	565	36.03316326530612
[FISICO]	10	12.345679012345679	206	13.137755102040817
[INTERIOR]	7	8.641975308641975	240	15.306122448979592
[ITEM]	1	1.2345679012345678	22	1.403061224489796
[LUGAR]	1	1.2345679012345678	19	1.211734693877551
[NSNC]	8	9.876543209876543	97	6.186224489795919
[PERSONALIDAD]	16	19.753086419753085	301	19.196428571428573
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	81	100.0	1568	100.0
