[CAT]	Count	PRC_Count	Points	PRC_points
[???]	1	2.9411764705882355	14	2.3890784982935154
[COLOR]	0	0.0	0	0.0
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	15	44.11764705882353	261	44.539249146757676
[FISICO]	5	14.705882352941176	89	15.187713310580206
[INTERIOR]	2	5.882352941176471	42	7.167235494880546
[ITEM]	1	2.9411764705882355	35	5.972696245733788
[LUGAR]	0	0.0	0	0.0
[NSNC]	3	8.823529411764707	26	4.436860068259386
[PERSONALIDAD]	6	17.647058823529413	119	20.30716723549488
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	34	100.0	586	100.0
