[TOTAL]	77	100.0	1398	100.0
[LUGAR]	10	12.987012987012987	321	22.96137339055794
[EXTERIOR]	28	36.36363636363637	569	40.701001430615165
[COLOR]	4	5.194805194805195	102	7.296137339055794
[FISICO]	4	5.194805194805195	108	7.725321888412017
[PERSONALIDAD]	9	11.688311688311689	132	9.44206008583691
[ITEM]	0	0.0	24	1.7167381974248928
[???]	0	0.0	20	1.4306151645207439
[EDAD]	2	2.5974025974025974	36	2.575107296137339
[INTERIOR]	3	3.896103896103896	47	3.3619456366237483
[NSNC]	7	9.090909090909092	39	2.7896995708154506
