0	:	80
1	...	527
2	.	68
3	 [...]	2570
4	:.	35598
5	;	81
6	..	420
7	:...	27951
8	,	66
9	[...]	20156
10	 [..]	34091
11	......	8813
12	....	1430
13	.....	7877
14	...]]>	27631
15	::	10338
16	 (...)	11134
17	.:	11420
18	...:	46370
19	?	85
20	,...	5007
21	 |	999
22	 *	2900
23	 "	442
24	 =	7900
25	..."	11929
26	 "...	24634
27	.......	20022
28	...?	26315
29	!	55
30	):	5466
31	":	6494
32	 -	632
33	.........	30932
34	...,	12693
35	 >	3376
36	...'	20412
37	 ---.	16884
38	:'	6322
39	 €.	22690
40	........	4668
41	 <	24298
42	."	5524
43	..........	41385
44	:-	18822
45	 #	1068
46	 >>	15973
47	 [...	35627
48	 	275
49	".	677
