[CAT]	Count	PRC_Count	Points	PRC_points
[???]	0	0.0	16	1.10573600552868
[COLOR]	1	1.1627906976744187	2	0.138217000691085
[DISCAPACIDAD]	1	1.1627906976744187	1	0.0691085003455425
[EDAD]	1	1.1627906976744187	16	1.10573600552868
[EXTERIOR]	29	33.72093023255814	576	39.80649619903248
[FISICO]	8	9.30232558139535	138	9.536973047684866
[INTERIOR]	8	9.30232558139535	120	8.2930200414651
[ITEM]	3	3.488372093023256	22	1.520387007601935
[LUGAR]	9	10.465116279069768	139	9.606081548030408
[NSNC]	7	8.13953488372093	78	5.3904630269523155
[PERSONALIDAD]	18	20.930232558139537	339	23.42778161713891
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	86	100.0	1447	100.0
