[CAT]	Count	PRC_Count	Points	PRC_points
[???]	8	42.10526315789474	118	49.166666666666664
[COLOR]	1	5.2631578947368425	16	6.666666666666667
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	2	10.526315789473685	20	8.333333333333334
[FISICO]	4	21.05263157894737	56	23.333333333333332
[INTERIOR]	0	0.0	0	0.0
[ITEM]	1	5.2631578947368425	15	6.25
[LUGAR]	0	0.0	0	0.0
[NSNC]	1	5.2631578947368425	13	5.416666666666667
[PERSONALIDAD]	1	5.2631578947368425	2	0.8333333333333334
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	19	100.0	240	100.0
