Barcelona	20
Bilbao	4
España	16
Francia	9
Madrid	25
Suiza	6
Telefónica	11
Valencia	13
Zaragoza	2
abogada	3
administrativa	38
administrativo	1
admirable	22
apasionante	24
aprendiz	16
auxiliar	24
ayudante	18
banca	22
botones	9
camarera	50
camarero	41
casa	24
cocina	10
cocinera	47
cocinero	5
comercial	7
complicada	10
contable	24
dependiente	5
difícil	13
ella	23
ellas	8
ello	17
enfermera	40
envidiable	7
escolta	10
esto	21
estupenda	1
excelente	6
extra	16
extraordinaria	4
fantástica	11
fascinante	20
hermosa	15
horrible	16
hostelería	18
importante	8
imposible	9
impresionante	21
increíble	12
interna	14
lamentable	23
limpieza	3
madre	4
maestra	16
magnífica	17
maravillosa	25
modelo	27
médico	12
noche	45
otra	3
peligrosa	14
periodista	24
política	1
preciosa	18
profesora	35
promotora	4
pésima	5
secretaria	45
taxista	23
televisión	3
terrible	19
traductor	8
tremenda	2
vigilante	23
voluntaria	13
