[CAT]	Count	PRC_Count	Points	PRC_points
[???]	6	35.294117647058826	103	45.175438596491226
[COLOR]	1	5.882352941176471	33	14.473684210526315
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	2	11.764705882352942	17	7.456140350877193
[FISICO]	4	23.529411764705884	48	21.05263157894737
[INTERIOR]	0	0.0	0	0.0
[ITEM]	1	5.882352941176471	6	2.6315789473684212
[LUGAR]	0	0.0	0	0.0
[NSNC]	1	5.882352941176471	5	2.192982456140351
[PERSONALIDAD]	1	5.882352941176471	16	7.017543859649122
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	17	100.0	228	100.0
