	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.010522137396037579	2955	0	9	male	AQ	10	difícil
1	1	0.01028813049197197	5995	0	9	male	AQ	9	increíble
2	2	0.009371774271130562	12586	0	9	male	AQ	8	creativo
3	3	0.007764137350022793	8553	0	9	male	AQ	7	hermoso
4	4	0.007315637543797493	2014	0	9	male	AQ	6	fácil
5	5	0.0071604629047214985	2843	0	9	male	AQ	5	fuerte
6	6	0.007057101931422949	8297	0	9	male	AQ	4	divertido
7	7	0.006421713624149561	3975	0	9	male	AQ	3	rápido
8	8	0.0060593257658183575	3038	0	9	male	NC	2	arte
9	9	0.005843037739396095	26528	0	9	male	AQ	1	dramático
0	0	0.053956471383571625	2619	1	9	male	AQ	10	grande
1	1	0.0325099378824234	6131	1	9	male	NC	9	chico
2	2	0.02736634947359562	12931	1	9	male	AQ	8	masculino
3	3	0.025081992149353027	2843	1	9	male	AQ	7	fuerte
4	4	0.02306539937853813	7353	1	9	male	AQ	6	serio
5	5	0.02247224934399128	10582	1	9	male	AQ	5	chino
6	6	0.022154295817017555	1126	1	9	male	AQ	4	nuevo
7	7	0.017236843705177307	3690	1	9	male	AQ	3	diferente
8	8	0.013621686957776546	2562	1	9	male	AQ	2	bueno
9	9	0.011603133752942085	2341	1	9	male	AQ	1	español
0	0	0.026801589876413345	5382	2	9	male	AQ	10	duro
1	1	0.01883656717836857	12931	2	9	male	AQ	9	masculino
2	2	0.018591318279504776	3367	2	9	male	NC	8	niño
3	3	0.013352872803807259	2336	2	9	male	AQ	7	libre
4	4	0.013216325081884861	12328	2	9	male	AQ	6	sano
5	5	0.012380684725940228	2843	2	9	male	AQ	5	fuerte
6	6	0.012295073829591274	9548	2	9	male	AQ	4	femenino
7	7	0.012013191357254982	2988	2	9	male	NC	3	padre
8	8	0.011209983378648758	2619	2	9	male	AQ	2	grande
9	9	0.009009966626763344	3561	2	9	male	AQ	1	humano
0	0	0.02930828183889389	2619	3	9	male	AQ	10	grande
1	1	0.014367901720106602	2843	3	9	male	AQ	9	fuerte
2	2	0.011491240933537483	7353	3	9	male	AQ	8	serio
3	3	0.010483648627996445	18176	3	9	male	AQ	7	horrible
4	4	0.009922966361045837	203	3	9	male		6	
5	5	0.008216626942157745	18	3	9	male	Fp	5	.
6	6	0.0081175547093153	65	3	9	male	AQ	4	]
7	7	0.007853329181671143	5382	3	9	male	AQ	3	duro
8	8	0.006967191584408283	614	3	9	male	RG	2	muy
9	9	0.0069388775154948235	263	3	9	male	SP	1	de
0	0	0.012603390030562878	3561	4	9	male	AQ	10	humano
1	1	0.010810024105012417	5382	4	9	male	AQ	9	duro
2	2	0.008932310156524181	5995	4	9	male	AQ	8	increíble
3	3	0.007371865678578615	2843	4	9	male	AQ	7	fuerte
4	4	0.006806229706853628	9548	4	9	male	AQ	6	femenino
5	5	0.006582134868949652	3690	4	9	male	AQ	5	diferente
6	6	0.006372815929353237	2521	4	9	male	AQ	4	alto
7	7	0.005709998309612274	3641	4	9	male	AQ	3	negro
8	8	0.005556420888751745	7916	4	9	male	NC	2	rock
9	9	0.005528364330530167	2619	4	9	male	AQ	1	grande
0	0	0.02041374333202839	7353	5	9	male	AQ	10	serio
1	1	0.01808296889066696	3426	5	9	male	AQ	9	inglés
2	2	0.016709839925169945	16900	5	9	male	AQ	8	psicológico
3	3	0.015905670821666718	2341	5	9	male	AQ	7	español
4	4	0.013766180723905563	2843	5	9	male	AQ	6	fuerte
5	5	0.013361460529267788	16835	5	9	male	AQ	5	dinámico
6	6	0.013267423026263714	614	5	9	male	RG	4	muy
7	7	0.011539497412741184	3690	5	9	male	AQ	3	diferente
8	8	0.01130601204931736	3975	5	9	male	AQ	2	rápido
9	9	0.010093043558299541	2583	5	9	male	AQ	1	gratis
0	0	0.016232678666710854	2341	6	9	male	AQ	10	español
1	1	0.014933024533092976	7353	6	9	male	AQ	9	serio
2	2	0.011740542948246002	2583	6	9	male	AQ	8	gratis
3	3	0.010015849024057388	3690	6	9	male	AQ	7	diferente
4	4	0.00837747473269701	7054	6	9	male	NC	6	maestro
5	5	0.008301973342895508	12931	6	9	male	AQ	5	masculino
6	6	0.008156856521964073	2227	6	9	male	AQ	4	necesario
7	7	0.007997311651706696	7423	6	9	male	AQ	3	gratuito
8	8	0.0075780050829052925	9548	6	9	male	AQ	2	femenino
9	9	0.007173520512878895	3426	6	9	male	AQ	1	inglés
0	0	0.051142703741788864	3641	7	9	male	AQ	10	negro
1	1	0.012519732117652893	1913	7	9	male	NC	9	precio
2	2	0.010465782135725021	10582	7	9	male	AQ	8	chino
3	3	0.01017760206013918	18176	7	9	male	AQ	7	horrible
4	4	0.00948609784245491	14469	7	9	male	NC	6	vendedor
5	5	0.008965108543634415	2583	7	9	male	AQ	5	gratis
6	6	0.007898284122347832	9342	7	9	male	AQ	4	barato
7	7	0.007558022625744343	2843	7	9	male	AQ	3	fuerte
8	8	0.006729422137141228	6933	7	9	male	AQ	2	malo
9	9	0.006651679053902626	359	7	9	male	RN	1	no
0	0	0.02995988354086876	7353	8	9	male	AQ	10	serio
1	1	0.021606063470244408	4202	8	9	male	AQ	9	médico
2	2	0.021003076806664467	18	8	9	male	Fp	8	.
3	3	0.013814014382660389	11635	8	9	male	AQ	7	urgente
4	4	0.012686696834862232	2227	8	9	male	AQ	6	necesario
5	5	0.010910618118941784	10288	8	9	male	AQ	5	terrible
6	6	0.010252491571009159	18176	8	9	male	AQ	4	horrible
7	7	0.009074972942471504	3389	8	9	male	AQ	3	…
8	8	0.008721999824047089	2843	8	9	male	AQ	2	fuerte
9	9	0.007852139882743359	6970	8	9	male	AQ	1	correcto
0	0	0.0193956159055233	12517	9	9	male	AQ	10	brutal
1	1	0.01728859916329384	5382	9	9	male	AQ	9	duro
2	2	0.015765681862831116	2843	9	9	male	AQ	8	fuerte
3	3	0.014909333549439907	18176	9	9	male	AQ	7	horrible
4	4	0.012715940363705158	2619	9	9	male	AQ	6	grande
5	5	0.012357761152088642	359	9	9	male	RN	5	no
6	6	0.011112947016954422	2583	9	9	male	AQ	4	gratis
7	7	0.010711966082453728	7353	9	9	male	AQ	3	serio
8	8	0.008327452465891838	614	9	9	male	RG	2	muy
9	9	0.007972540333867073	3641	9	9	male	AQ	1	negro
0	0	0.04229593649506569	3991	10	9	male	AQ	10	normal
1	1	0.024610936641693115	3690	10	9	male	AQ	9	diferente
2	2	0.019901901483535767	6933	10	9	male	AQ	8	malo
3	3	0.012037154287099838	2341	10	9	male	AQ	7	español
4	4	0.01180612575262785	47234	10	9	male	AQ	6	autodidacta
5	5	0.011722307652235031	34763	10	9	male	AQ	5	bilingüe
6	6	0.01067622471600771	3426	10	9	male	AQ	4	inglés
7	7	0.010108999907970428	6970	10	9	male	AQ	3	correcto
8	8	0.009839123114943504	2592	10	9	male	AQ	2	profesional
9	9	0.009676978923380375	12931	10	9	male	AQ	1	masculino
0	0	0.03734686225652695	2521	11	9	male	AQ	10	alto
1	1	0.0221906378865242	3641	11	9	male	AQ	9	negro
2	2	0.013553330674767494	6970	11	9	male	AQ	8	correcto
3	3	0.012776841409504414	12931	11	9	male	AQ	7	masculino
4	4	0.011685662902891636	9994	11	9	male	NC	6	gato
5	5	0.010862205177545547	2341	11	9	male	AQ	5	español
6	6	0.010583790019154549	2562	11	9	male	AQ	4	bueno
7	7	0.010137837380170822	614	11	9	male	RG	3	muy
8	8	0.009912055917084217	21813	11	9	male	AQ	2	feo
9	9	0.009060949087142944	9955	11	9	male	AQ	1	raro
0	0	0.029041042551398277	8297	12	9	male	AQ	10	divertido
1	1	0.021993258967995644	2843	12	9	male	AQ	9	fuerte
2	2	0.021523259580135345	1040	12	9	male	PI	8	algo
3	3	0.015318973921239376	3370	12	9	male	RG	7	demasiado
4	4	0.014280950650572777	419	12	9	male	RG	6	más
5	5	0.008358955383300781	1126	12	9	male	AQ	5	nuevo
6	6	0.00788147933781147	9026	12	9	male	AQ	4	amable
7	7	0.007673389744013548	1022	12	9	male	PD	3	eso
8	8	0.007095750421285629	11889	12	9	male	AQ	2	peligroso
9	9	0.007042464800179005	763	12	9	male	RG	1	bien
0	0	0.025196118280291557	6131	13	9	male	NC	10	chico
1	1	0.022353924810886383	1126	13	9	male	AQ	9	nuevo
