	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.18810687959194183	3	0	2	male	NC	10	[unk]
1	1	0.030456900596618652	2551	0	2	male	AQ	9	cierto
2	2	0.01905221678316593	1012	0	2	male	SP	8	a
3	3	0.018630094826221466	9304	0	2	male	AQ	7	mio
4	4	0.016384441405534744	1277	0	2	male	DD	6	este
5	5	0.013541344553232193	1597	0	2	male	NC	5	verdad
6	6	0.011519602499902248	1098	0	2	male	Z	4	1
7	7	0.01086824294179678	1491	0	2	male	AQ	3	bueno
8	8	0.01048472709953785	2368	0	2	male	AQ	2	posible
9	9	0.007816281169652939	5013	0	2	male	AQ	1	imposible
0	0	0.08947259932756424	1491	1	2	male	AQ	10	bueno
1	1	0.03186388313770294	6910	1	2	male	PX	9	suyo
2	2	0.03126931190490723	6460	1	2	male	AQ	8	inteligente
3	3	0.02473936416208744	11095	1	2	male	AQ	7	guapo
4	4	0.024384519085288048	4014	1	2	male	AQ	6	malo
5	5	0.021318469196558	5477	1	2	male	AQ	5	divertido
6	6	0.02027861587703228	5617	1	2	male	PX	4	tuyo
7	7	0.018538950011134148	7057	1	2	male	AQ	3	brillante
8	8	0.017872944474220276	8708	1	2	male	AQ	2	leal
9	9	0.01649210788309574	5525	1	2	male	AQ	1	dulce
0	0	0.07827840000391006	1009	2	2	male	SP	10	de
1	1	0.07061289995908737	1039	2	2	male	DA	9	el
2	2	0.0700264498591423	3	2	2	male	AQ	8	[unk]
3	3	0.02997012622654438	5799	2	2	male	AQ	7	negativo
4	4	0.025287825614213943	9151	2	2	male	AQ	6	positivo
5	5	0.022803710773587227	9911	2	2	male	AQ	5	falso
6	6	0.021852506324648857	13295	2	2	male	AQ	4	masculino
7	7	0.02107001468539238	1277	2	2	male	DD	3	este
8	8	0.018429288640618324	4215	2	2	male	AQ	2	negro
9	9	0.016530726104974747	1491	2	2	male	AQ	1	bueno
0	0	0.052758317440748215	1736	3	2	male	AQ	10	mayor
1	1	0.05090200901031494	4215	3	2	male	AQ	9	negro
2	2	0.04322812333703041	1039	3	2	male	DA	8	el
3	3	0.03996468707919121	3	3	2	male	AQ	7	[unk]
4	4	0.024620143696665764	8373	3	2	male	AQ	6	chino
5	5	0.02405082806944847	1277	3	2	male	DD	5	este
6	6	0.02158113569021225	1491	3	2	male	AQ	4	bueno
7	7	0.01979529671370983	2880	3	2	male	AQ	3	grande
8	8	0.018233977258205414	8579	3	2	male	AO	2	tercero
9	9	0.018092872574925423	2690	3	2	male	AQ	1	alto
