Reject_Other_Love,points

[MASC]	 	[FEM]	[model_name]
42	<	63	BSC-TeMU/roberta-base-bne
58	>	8	BSC-TeMU/roberta-large-bne
107	<	151	dccuchile/bert-base-spanish-wwm-uncased
59	<	107	dccuchile/bert-base-spanish-wwm-cased
94	>	55	mrm8488/electricidad-base-generator
11	<	42	MMG/mlm-spanish-roberta-base
311	>	140	bertin-project/bertin-roberta-base-spanish
100	>	15	bert-base-multilingual-cased
100	>	50	bertin-project/bertin-base-random
185	>	126	bertin-project/bertin-base-stepwise
311	>	140	bertin-project/bertin-base-gaussian
111	>	40	bertin-project/bertin-base-random-exp-512seqlen
77	>	19	bertin-project/bertin-base-stepwise-exp-512seqlen
39	>	38	bertin-project/bertin-base-gaussian-exp-512seqlen
86	>	15	amine/bert-base-5lang-cased
73	>	23	Geotrend/bert-base-es-cased
0	<	8	BSC-TeMU/RoBERTalex
70	>	61	Recognai/distilbert-base-es-multilingual-cased
595	>	406	flax-community/alberti-bert-base-multilingual-cased
89	>	82	Geotrend/distilbert-base-es-cased
