Reject_Other_Status,count

[MASC]	 	[FEM]	[model_name]
8	<	8	BSC-TeMU/roberta-base-bne
6	>	3	BSC-TeMU/roberta-large-bne
13	>	9	dccuchile/bert-base-spanish-wwm-uncased
8	>	7	dccuchile/bert-base-spanish-wwm-cased
5	<	5	mrm8488/electricidad-base-generator
6	<	7	MMG/mlm-spanish-roberta-base
6	<	13	bertin-project/bertin-roberta-base-spanish
3	<	4	bert-base-multilingual-cased
4	<	4	bertin-project/bertin-base-random
7	<	10	bertin-project/bertin-base-stepwise
6	<	13	bertin-project/bertin-base-gaussian
7	<	7	bertin-project/bertin-base-random-exp-512seqlen
5	<	6	bertin-project/bertin-base-stepwise-exp-512seqlen
5	<	9	bertin-project/bertin-base-gaussian-exp-512seqlen
4	>	3	amine/bert-base-5lang-cased
4	<	4	Geotrend/bert-base-es-cased
4	<	4	BSC-TeMU/RoBERTalex
3	<	3	Recognai/distilbert-base-es-multilingual-cased
5	>	4	flax-community/alberti-bert-base-multilingual-cased
3	<	3	Geotrend/distilbert-base-es-cased
