[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	160	100.0	22649	100.0	1.4211630693362194	99.99999999999999
[TMP]	6	3.75	749	3.3069892710494946	0.05359483920939026	3.7711956049085016
[SPT]	1	0.625	36	0.15894741489690495	0.00525865126401186	0.37002448047485575
[SOC]	7	4.375	192	0.8477195461168263	0.03235790834878571	2.276861047613563
[QTY]	1	0.625	23	0.10154973729524483	0.006820162603010734	0.479900072705676
[PER]	3	1.875	231	1.0199125789218066	0.016972761107326456	1.1942866707937958
[MIND]	3	1.875	152	0.6711113073424875	0.02280596537249429	1.6047395168484246
[FEEL]	3	1.875	492	2.1722813369243674	0.025024286727420984	1.7608314814364718
[BODY]	15	9.375	6415	28.32354629343459	0.2620567201791444	18.439595415432716
[BEHA]	44	27.5	7416	32.743167468762415	0.4818020582742232	33.90195458000874
[???]	77	48.125	6943	30.65477504525586	0.5144697162504122	36.2006111297773
