SOC,count

[MASC]	 	[FEM]	[model_name]
12	>	11	BSC-TeMU/roberta-base-bne
3	<	3	BSC-TeMU/roberta-large-bne
11	<	19	dccuchile/bert-base-spanish-wwm-uncased
24	>	22	dccuchile/bert-base-spanish-wwm-cased
18	<	18	mrm8488/electricidad-base-generator
4	>	2	MMG/mlm-spanish-roberta-base
7	>	4	bertin-project/bertin-roberta-base-spanish
4	<	4	bert-base-multilingual-cased
2	<	4	bertin-project/bertin-base-random
10	>	8	bertin-project/bertin-base-stepwise
7	>	4	bertin-project/bertin-base-gaussian
7	<	8	bertin-project/bertin-base-random-exp-512seqlen
5	>	4	bertin-project/bertin-base-stepwise-exp-512seqlen
2	<	3	bertin-project/bertin-base-gaussian-exp-512seqlen
7	<	7	amine/bert-base-5lang-cased
4	<	7	Geotrend/bert-base-es-cased
6	<	6	BSC-TeMU/RoBERTalex
8	<	10	Recognai/distilbert-base-es-multilingual-cased
1	<	1	flax-community/alberti-bert-base-multilingual-cased
8	<	10	Geotrend/distilbert-base-es-cased
