Arte_Entret,count

[MASC]	 	[FEM]	[model_name]
2	<	2	BSC-TeMU/roberta-base-bne
2	<	3	BSC-TeMU/roberta-large-bne
4	<	4	dccuchile/bert-base-spanish-wwm-uncased
7	>	5	dccuchile/bert-base-spanish-wwm-cased
6	>	4	mrm8488/electricidad-base-generator
4	>	3	MMG/mlm-spanish-roberta-base
3	<	3	bertin-project/bertin-roberta-base-spanish
0	<	1	bert-base-multilingual-cased
4	>	3	bertin-project/bertin-base-random
5	<	6	bertin-project/bertin-base-stepwise
3	<	3	bertin-project/bertin-base-gaussian
2	<	5	bertin-project/bertin-base-random-exp-512seqlen
1	>	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
2	<	2	amine/bert-base-5lang-cased
1	<	1	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
11	<	15	Recognai/distilbert-base-es-multilingual-cased
3	>	2	flax-community/alberti-bert-base-multilingual-cased
11	<	15	Geotrend/distilbert-base-es-cased
