0	 bueno	3383
1	 amable	16765
2	 profesional	2791
3	 agradable	10089
4	 divertido	11191
5	 simpático	31619
6	 guapo	24556
7	 feliz	6482
8	 trabajador	8519
9	 interesante	4534
10	 especial	1493
11	 cariñoso	39504
12	 positivo	6934
13	 bonito	7865
14	 creativo	14986
15	 claro	2296
16	 bien	961
17	 competitivo	16451
18	 competente	12292
19	 duro	6002
20	 inteligente	9861
21	 rápido	5744
22	 gracioso	28144
23	 listo	11294
24	 grande	3838
25	 familiar	4516
26	 generoso	30719
27	 cordial	27868
28	 exigente	19738
