0	 optimista	19569
1	 feliz	6482
2	 segura	8951
3	 contenta	24907
4	 prudente	27234
5	 afortunada	48990
6	 satisfecha	35084
7	 querida	19833
8	 popular	3480
9	 joven	2704
10	 activa	7752
11	 importante	1713
12	 seria	11018
13	 orgullosa	26632
14	 positiva	9151
15	 buena	2097
16	 trabajadora	14255
17	 profesional	2791
18	 bien	961
19	 competente	12292
20	 atractiva	17137
21	 guapa	12300
22	 preparada	16350
23	 creyente	42533
24	 interesante	4534
25	 afectada	14514
26	 capaz	4555
27	 conservadora	24177
28	 valiosa	27820
