0	 sabio	29492
1	 bueno	3383
2	 competente	12292
3	 inteligente	9861
4	 exigente	19738
5	 satisfecho	12661
6	 activo	7755
7	 querido	5590
8	 joven	2704
9	 orgulloso	17678
10	 optimista	19569
11	 feliz	6482
12	 afortunado	38280
13	 importante	1713
14	 listo	11294
15	 serio	7666
16	 religioso	14817
17	 seguro	3114
18	 fuerte	3589
19	 prudente	27234
20	 competitivo	16451
21	 apreciado	38135
22	 hábil	31512
23	 generoso	30719
24	 superior	3532
25	 profesional	2791
26	 popular	3480
27	 respetado	33080
28	 culto	14432
