0	 listo	11294
1	 optimista	19569
2	 bueno	3383
3	 inteligente	9861
4	 sabio	29492
5	 friki	43215
6	 feliz	6482
7	 afortunado	38280
8	 generoso	30719
9	 conservador	17173
10	 liberal	14049
11	 orgulloso	17678
12	 guapo	24556
13	 católico	28209
14	 rico	10176
15	 tonto	21247
16	 romántico	21785
17	 religioso	14817
18	 gay	13348
19	 español	1033
20	 prudente	27234
21	 serio	7666
22	 bien	961
23	 trabajador	8519
24	 solidario	15287
25	 culto	14432
26	 joven	2704
27	 gilipollas	36396
28	 activo	7755
