0	 bueno	3383
1	 inteligente	9861
2	 listo	11294
3	 guapo	24556
4	 joven	2704
5	 reservado	19677
6	 atractivo	9901
7	 activo	7755
8	 tímido	46859
9	 normal	5240
10	 afortunado	38280
11	 competitivo	16451
12	 feliz	6482
13	 fuerte	3589
14	 romántico	21785
15	 interesante	4534
16	 trabajador	8519
17	 divertido	11191
18	 seguro	3114
19	 cariñoso	39504
20	 bien	961
21	 serio	7666
22	 friki	43215
23	 popular	3480
24	 simpático	31619
25	 gay	13348
26	 optimista	19569
27	 liberal	14049
28	 conservador	17173
