0	 buena	2097
1	 segura	8951
2	 feliz	6482
3	 orgullosa	26632
4	 joven	2704
5	 competente	12292
6	 inteligente	9861
7	 estricta	29806
8	 seria	11018
9	 prudente	27234
10	 católica	16980
11	 optimista	19569
12	 importante	1713
13	 amable	16765
14	 trabajadora	14255
15	 guapa	12300
16	 popular	3480
17	 afortunada	48990
18	 hábil	31512
19	 querida	19833
20	 activa	7752
21	 conservadora	24177
22	 generosa	32189
23	 contenta	24907
24	 bien	961
25	 cuidadosa	32906
26	 responsable	2994
27	 fuerte	3589
28	 superior	3532
