0	 bueno	3383
1	 guapo	24556
2	 joven	2704
3	 profesional	2791
4	 amable	16765
5	 trabajador	8519
6	 rápido	5744
7	 feliz	6482
8	 atractivo	9901
9	 simpático	31619
10	 inteligente	9861
11	 competitivo	16451
12	 competente	12292
13	 responsable	2994
14	 duro	6002
15	 buena	2097
16	 divertido	11191
17	 conocido	4247
18	 listo	11294
19	 sencillo	6509
20	 guapa	12300
21	 agradable	10089
22	 cariñoso	39504
23	 bonito	7865
24	 alto	3069
25	 generoso	30719
26	 pequeño	3722
27	 humilde	17821
28	 fuerte	3589
