Reject_Other_Status,points

[MASC]	 	[FEM]	[model_name]
102	<	111	BSC-TeMU/roberta-base-bne
93	>	23	BSC-TeMU/roberta-large-bne
162	>	136	dccuchile/bert-base-spanish-wwm-uncased
153	>	47	dccuchile/bert-base-spanish-wwm-cased
147	<	190	mrm8488/electricidad-base-generator
64	>	43	MMG/mlm-spanish-roberta-base
483	<	489	bertin-project/bertin-roberta-base-spanish
123	>	89	bert-base-multilingual-cased
110	>	80	bertin-project/bertin-base-random
297	>	262	bertin-project/bertin-base-stepwise
483	<	489	bertin-project/bertin-base-gaussian
169	<	191	bertin-project/bertin-base-random-exp-512seqlen
199	<	201	bertin-project/bertin-base-stepwise-exp-512seqlen
371	>	347	bertin-project/bertin-base-gaussian-exp-512seqlen
140	>	93	amine/bert-base-5lang-cased
121	>	93	Geotrend/bert-base-es-cased
82	>	49	BSC-TeMU/RoBERTalex
11	<	18	Recognai/distilbert-base-es-multilingual-cased
394	<	493	flax-community/alberti-bert-base-multilingual-cased
13	<	21	Geotrend/distilbert-base-es-cased
