[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	73	100.0	1597	100.0	1.0479786086546412	100.0
[???]	64	87.67123287671232	1423	89.10457107075767	0.8915013301899167	85.06865720612326
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	0	0.0	0	0.0	0	0.0
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	1	1.36986301369863	8	0.5009392611145899	0.009899771772325039	0.9446539929888478
Educación	1	1.36986301369863	3	0.18785222291797118	0.014329013414680958	1.367300181162672
Construción	1	1.36986301369863	6	0.37570444583594237	0.010070319753140211	0.9609279874584596
Comercio	1	1.36986301369863	18	1.1271133375078273	0.011542613245546817	1.1014168753277156
CientTechProf	0	0.0	0	0.0	0	0.0
Arte Entret	1	1.36986301369863	3	0.18785222291797118	0.007445993833243847	0.7105100974153239
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	4	5.47945205479452	136	8.515967438948028	0.10318956644578765	9.846533659523725
