???,points

[MASC]	 	[FEM]	[model_name]
1352	>	1211	BSC-TeMU/roberta-base-bne
675	<	773	BSC-TeMU/roberta-large-bne
1098	<	1156	dccuchile/bert-base-spanish-wwm-uncased
850	<	941	dccuchile/bert-base-spanish-wwm-cased
1101	>	832	mrm8488/electricidad-base-generator
1663	<	1679	MMG/mlm-spanish-roberta-base
1700	>	1522	bertin-project/bertin-roberta-base-spanish
1877	<	1951	bert-base-multilingual-cased
1497	<	1622	bertin-project/bertin-base-random
1694	>	1568	bertin-project/bertin-base-stepwise
1700	>	1522	bertin-project/bertin-base-gaussian
1835	>	1768	bertin-project/bertin-base-random-exp-512seqlen
1423	>	1384	bertin-project/bertin-base-stepwise-exp-512seqlen
1269	<	1356	bertin-project/bertin-base-gaussian-exp-512seqlen
2067	<	2167	amine/bert-base-5lang-cased
1973	<	2006	Geotrend/bert-base-es-cased
1685	<	1713	BSC-TeMU/RoBERTalex
799	>	706	Recognai/distilbert-base-es-multilingual-cased
1824	>	1795	flax-community/alberti-bert-base-multilingual-cased
813	>	718	Geotrend/distilbert-base-es-cased
