CientTechProf,points

[MASC]	 	[FEM]	[model_name]
159	>	15	BSC-TeMU/roberta-base-bne
116	>	32	BSC-TeMU/roberta-large-bne
30	>	5	dccuchile/bert-base-spanish-wwm-uncased
179	>	66	dccuchile/bert-base-spanish-wwm-cased
206	>	104	mrm8488/electricidad-base-generator
71	>	23	MMG/mlm-spanish-roberta-base
10	<	23	bertin-project/bertin-roberta-base-spanish
0	<	0	bert-base-multilingual-cased
61	>	44	bertin-project/bertin-base-random
51	>	42	bertin-project/bertin-base-stepwise
10	<	23	bertin-project/bertin-base-gaussian
135	<	145	bertin-project/bertin-base-random-exp-512seqlen
0	<	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
0	<	2	amine/bert-base-5lang-cased
0	<	2	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
183	>	80	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
185	>	80	Geotrend/distilbert-base-es-cased
