Reject_Other_Status,count

[MASC]	 	[FEM]	[model_name]
18	>	15	BSC-TeMU/roberta-base-bne
11	>	8	BSC-TeMU/roberta-large-bne
21	>	17	dccuchile/bert-base-spanish-wwm-uncased
18	>	14	dccuchile/bert-base-spanish-wwm-cased
14	>	13	mrm8488/electricidad-base-generator
15	>	14	MMG/mlm-spanish-roberta-base
17	<	22	bertin-project/bertin-roberta-base-spanish
6	<	7	bert-base-multilingual-cased
8	<	10	bertin-project/bertin-base-random
20	>	19	bertin-project/bertin-base-stepwise
17	<	22	bertin-project/bertin-base-gaussian
12	>	11	bertin-project/bertin-base-random-exp-512seqlen
12	<	17	bertin-project/bertin-base-stepwise-exp-512seqlen
13	<	15	bertin-project/bertin-base-gaussian-exp-512seqlen
6	<	7	amine/bert-base-5lang-cased
7	<	8	Geotrend/bert-base-es-cased
1	<	6	mrm8488/RuPERTa-base
5	<	6	BSC-TeMU/RoBERTalex
5	<	6	Recognai/distilbert-base-es-multilingual-cased
11	>	9	flax-community/alberti-bert-base-multilingual-cased
5	<	6	Geotrend/distilbert-base-es-cased
