A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	???
Agric/Caza	Indus. Extra	Inst Manufac	Sumin Luz	Sumin Agua	Construción	Comercio	Logistica	Hosteleria	Inf Telco	Finanzas	Inmobiliarias	CientTechProf	Admin. Aux	Func. Defen	Educación	Salud Social	Arte Entret	Otros	Emp Domest	ExtraTerr	[???]
agricultor		carpintero		basurero	construcción	carnicero	cajero	camarera	autor	economista	inmobiliaria	abogada	admin	comandante	docente	cirujano	actor	autónoma	cuidador		2013
agricultura		fabricante			constructor	comercial	chofer	camarero	autora	economía		abogado	administración	coronel	docentes	dentista	actores	autónomo	criada		2015
agrícola		fabricantes			contratista	comerciante	chófer	camareros	autores			abogados	administrador	diputado	educador	doctora	actrice	conserje	criado		abajo
caza		herrero			albañil	comerciantes	conductor	chef	comentarista			analista	administradora	diputados	educación	enfermera	actriz	contrabando	docente		abril
cazador		industrial			obrera	intermediario	conductora		corresponsal			arquitecto	administradores	alcalde	educadores	médico	artista	coordinador	doncella		acero
granjero		petroleros			obrero	mecánica	copiloto		guionista			asesor	administrativa	funciona	maestra	psicóloga	artistas	coordinadora	mayordomo		acompañante
pesca		productor				mecánico	dependiente		ponente			asesora	administrativo	funcionario	maestro	terapeuta	atleta	cámara	sirvienta		acuerdo
		productores				mediador	distribuidor					científica	agente	gobernador	maestros		bailarina	emprendedor			adolescente
						vendedor	distribuidores					científico	coach	policía	político		biblioteca	emprendedora			ador
							mensajero					consultor	guía	soldado	politicos		ciclista	emprendedores			adora
							mozo					consultora	jardinero		profe		deportista	empresaria			adulto
							piloto					contabilidad	limpia		profesora		deportistas	empresario			adultos
							taxista					desarrollador	portero		tutor		dibujante	estilista			afganistán
												directiva	secretaria				entrenador	freelance			afuera
												director	secretario				escultor	jefe			agencia
												directora					cantante	presidenta			agosto
												diseñador					escritor	presidente			agradable
												diseñadora					escritora	socia			agrícola
												diseñadores					futbolista	socio			agua
												detective					guitarrista				ahora
												fotógrafo					intérprete				alcohol
												guardaespaldas					maga				aldea
												guardia					modelo				alejandro
												guerrero					monitor				alemania
												informático					periodista				alex
												ingeniero					poeta				algo
												investigador					solista				alguien
												marketing									almacenes
												programador									alquiler
												traductor									alumna
												veterinaria									alumno
												veterinario									alumnos
																					amable
																					amables
																					amazon
																					amiga
																					amigas
																					amigo
																					amigos
																					amor
																					anfitrión
																					animal
																					animales
																					antemano
																					antes
																					años
																					apple
																					aprender
																					aprendiz
																					aprendizaje
																					aqui
																					aquí
																					areas
																					argentina
																					arriba
																					arte
																					artículos
																					asesino
																					asistente
																					autobus
																					ayer
																					ayuda
																					baile
																					barcelona
																					barrio
																					becario
																					bien
																					bitcoin
																					blanco
																					blogs
																					botones
																					bronce
																					bruselas
																					buena
																					burro
																					cabeza
																					calidad
																					calle
																					calor
																					cambio
																					campo
																					cancer
																					cara
																					cargo
																					carne
																					casa
																					casada
																					castilla
																					casualidad
																					catalán
																					celulares
																					cemento
																					centrocampista
																					cerca
																					cereales
																					cero
																					chica
																					chicago
																					chicas
																					chico
																					chicos
																					chihuahua
																					chile
																					china
																					chino
																					cierre
																					cine
																					cion
																					citas
																					ciudad
																					ciudadano
																					clase
																					clases
																					cliente
																					clientes
																					coche
																					coches
																					cocina
																					codo
																					colombia
																					comentarios
																					comer
																					comercio
																					comida
																					comisaria
																					comisario
																					comisión
																					compañeros
																					competidores
																					compra
																					comprar
																					compras
																					comunidad
																					confianza
																					confortable
																					consecuencia
																					construcción
																					contable
																					contenido
																					corresponde
																					coser
																					crecer
																					criada
																					cualquier
																					cualquiera
																					cuando
																					cuenca
																					cura
																					cursos
																					datos
																					debe
																					defensa
																					demonio
																					demonios
																					derecho
																					dice
																					dicen
																					diciembre
																					didad
																					dinero
																					dios
																					dolor
																					donde
																					dueña
																					dueño
																					dueños
																					duro
																					edad
																					editor
																					educación
																					educador
																					eeuu
																					efectivo
																					ejemplo
																					electrodomésticos
																					electrónica
																					ella
																					ello
																					ellos
																					emergencia
																					empleada
																					empleado
																					empleador
																					empleados
																					empleo
																					empresa
																					empresas
																					encubierto
																					entrada
																					entradas
																					entrar
																					entrega
																					equipo
																					erasmus
																					esclava
