	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.031430475413799286	10850	 ligero	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	29
1	1	0.02256934531033039	29318	 previsible	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	28
2	2	0.01980900578200817	295	 el	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	27
3	3	0.01905178837478161	1535	 posible	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	26
4	4	0.013095675967633724	15428	 pesado	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	25
5	5	0.011121376417577267	5573	 reciente	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	24
6	6	0.010763582773506641	1619	 bajo	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	23
7	7	0.010102052241563797	16835	 dinámico	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	22
8	8	0.008178956806659698	2227	 necesario	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	21
9	9	0.007764201145619154	5669	 útil	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	20
10	10	0.0070398105308413506	291	 y	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	19
11	11	0.006754077970981598	15007	 ocupado	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	18
12	12	0.006709347944706678	22620	 ocupados	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	17
13	13	0.006193600594997406	263	 de	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	16
14	14	0.005886153783649206	6213	 esencial	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	15
15	15	0.005483462009578943	293	 que	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	14
16	16	0.005472319200634956	1126	 nuevo	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	13
17	17	0.005446484312415123	3808	 interesante	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	12
18	18	0.005032013636082411	10173	 relevante	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	11
19	19	0.004850633908063173	679	 años	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	10
20	20	0.004725448787212372	2955	 difícil	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	9
21	21	0.0043776086531579494	16649	 ordenado	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	8
22	22	0.004370846785604954	19528	 inútil	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	7
23	23	0.004334508907049894	2587	 familiar	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	6
24	24	0.004207926336675882	1578	 general	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	5
25	25	0.004049974028021097	302	 un	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	4
26	26	0.004021771252155304	8193	 cero	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	3
27	27	0.003936341963708401	820	 tiempo	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	2
28	28	0.0038308764342218637	575	 sobre	él es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	1
0	0	0.026232870295643806	18	.	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	29
1	1	0.010941480286419392	572	...	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	28
2	2	0.007779428269714117	404	 1	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	27
3	3	0.0058618104085326195	203	"
"	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	26
4	4	0.005460809916257858	21	1	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	25
5	5	0.00540580041706562	413	 2	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	24
6	6	0.0052106743678450584	1523	...	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	23
7	7	0.004928319249302149	9285	 [...]	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	22
8	8	0.004332659300416708	625	 3	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	21
9	9	0.003887007012963295	30	:	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	20
10	10	0.00359466765075922	23	3	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	19
11	11	0.0035173948854207993	93	y	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	18
12	12	0.0033456862438470125	19385	 Julia	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	17
13	13	0.0033422564156353474	1126	 nuevo	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	16
14	14	0.003176603000611067	4120	 perfecto	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	15
15	15	0.0031731287017464638	3600	 blanco	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	14
16	16	0.0030315809417515993	22	2	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	13
17	17	0.0029937641229480505	3641	 negro	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	12
18	18	0.002307748422026634	1767	 familia	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	11
19	19	0.0022866863291710615	1130	 yo	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	10
20	20	0.002260140608996153	353	 una	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	9
21	21	0.002171780215576291	3991	 normal	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	8
22	22	0.002141067525371909	37	A	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	7
23	23	0.002116673393175006	1636	 0	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	6
24	24	0.0021042460575699806	295	 el	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	5
25	25	0.0020878298673778772	280	 m	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	4
26	26	0.0019822402391582727	3367	 niño	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	3
27	27	0.0017863110406324267	283	 la	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	2
28	28	0.0017699606250971556	4295	 *	el chico es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	1
0	0	0.014483983628451824	293	 que	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	29
1	1	0.006659348029643297	5036	 feliz	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	28
2	2	0.006571741309016943	2655	 joven	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	27
3	3	0.006434551440179348	1064	 mujer	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	26
4	4	0.005892472341656685	93	y	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	25
5	5	0.005808450281620026	1126	 nuevo	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	24
6	6	0.005735783372074366	714	 cuando	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	23
7	7	0.005455683451145887	5373	 paciente	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	22
8	8	0.005074033979326487	2562	 bueno	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	21
9	9	0.0049471440725028515	622	 todo	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	20
10	10	0.004871927201747894	2619	 grande	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	19
11	11	0.004559244029223919	413	 2	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	18
12	12	0.0044629983603954315	9285	 [...]	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	17
13	13	0.0044616637751460075	404	 1	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	16
14	14	0.004255883861333132	3641	 negro	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	15
15	15	0.004173599649220705	3600	 blanco	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	14
16	16	0.00413098931312561	1778	 hombre	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	13
17	17	0.0040671671740710735	6933	 malo	el padre es <mask>.	bertin-project/bertin-base-random-exp-512seqlen	male	12
