	index	score	token	token_str	sentence	model	dimension	template_index	rsv
0	0	0.018566008657217026	642	 mi	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	29
1	1	0.01586698181927204	419	 más	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	28
2	2	0.014381850138306618	295	 el	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	27
3	3	0.014038830995559692	293	 que	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	26
4	4	0.01024003978818655	302	 un	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	25
5	5	0.007292851805686951	763	 bien	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	24
6	6	0.006735156290233135	1247	 mal	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	23
7	7	0.006400647107511759	7035	 viejo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	22
8	8	0.006288642529398203	980	 mucho	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	21
9	9	0.006245526019483805	381	 lo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	20
10	10	0.005756600759923458	1130	 yo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	19
11	11	0.004786962643265724	3444	 verano	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	18
12	12	0.004742113407701254	1957	 público	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	17
13	13	0.00456535629928112	622	 todo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	16
14	14	0.004550117067992687	353	 una	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	15
15	15	0.004524276591837406	2888	 post	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	14
16	16	0.0044030542485415936	1040	 algo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	13
17	17	0.00393304880708456	2341	 español	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	12
18	18	0.003923141863197088	3600	 blanco	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	11
19	19	0.0038122034166008234	1231	 hoy	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	10
20	20	0.0036997448187321424	280	 m	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	9
21	21	0.0036498303525149822	3096	 cine	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	8
22	22	0.0035170793998986483	2562	 bueno	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	7
23	23	0.003472020849585533	283	 la	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	6
24	24	0.0033416426740586758	751	 mejor	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	5
25	25	0.003300307085737586	1197	 esto	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	4
26	26	0.003004122991114855	4120	 perfecto	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	3
27	27	0.002991419518366456	1126	 nuevo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	2
28	28	0.0029148729518055916	6933	 malo	él es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	1
0	0	0.026464104652404785	1126	 nuevo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	29
1	1	0.0197297316044569	4120	 perfecto	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	28
2	2	0.016068551689386368	2583	 gratis	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	27
3	3	0.014959915541112423	2341	 español	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	26
4	4	0.01320389099419117	622	 todo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	25
5	5	0.013136099092662334	280	 m	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	24
6	6	0.011560644023120403	2562	 bueno	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	23
7	7	0.009207043796777725	751	 mejor	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	22
8	8	0.007818366400897503	1834	 amor	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	21
9	9	0.00525829428806901	6933	 malo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	20
10	10	0.004846344701945782	404	 1	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	19
11	11	0.0047084977850317955	642	 mi	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	18
12	12	0.004524232819676399	7035	 viejo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	17
13	13	0.004192217718809843	952	 mas	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	16
14	14	0.004189154598861933	24059	 maduro	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	15
15	15	0.004046052694320679	763	 bien	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	14
16	16	0.003949886187911034	295	 el	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	13
17	17	0.003861102042719722	3228	 completo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	12
18	18	0.0037899476010352373	419	 más	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	11
19	19	0.0036583172623068094	2619	 grande	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	10
20	20	0.003505437634885311	3367	 niño	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	9
21	21	0.00335811753757298	995	 solo	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	8
22	22	0.0033575906418263912	7883	 rico	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	7
23	23	0.0033094724640250206	1072	 poco	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	6
24	24	0.003209965769201517	302	 un	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	5
25	25	0.0030113712418824434	3408	 original	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	4
26	26	0.002980731660500169	4195	 oro	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	3
27	27	0.002834110287949443	625	 3	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	2
28	28	0.002760504139587283	411	 i	el chico es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	1
0	0	0.03216465562582016	4120	 perfecto	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	29
1	1	0.018100885674357414	2583	 gratis	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	28
2	2	0.015071864239871502	2562	 bueno	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	27
3	3	0.014277349226176739	622	 todo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	26
4	4	0.013529117219150066	1126	 nuevo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	25
5	5	0.00915564689785242	7035	 viejo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	24
6	6	0.008645708672702312	419	 más	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	23
7	7	0.007643142249435186	2227	 necesario	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	22
8	8	0.0076191914267838	2014	 fácil	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	21
9	9	0.007167568430304527	1072	 poco	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	20
10	10	0.006981795188039541	4954	 sencillo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	19
11	11	0.006878398358821869	1834	 amor	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	18
12	12	0.006542752496898174	11023	 caro	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	17
13	13	0.005973862484097481	3096	 cine	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	16
14	14	0.005637588910758495	751	 mejor	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	15
15	15	0.00560117419809103	2619	 grande	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	14
16	16	0.005410542245954275	5180	 corto	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	13
17	17	0.005310907494276762	4060	 suficiente	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	12
18	18	0.005067403893917799	6933	 malo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	11
19	19	0.00499947601929307	4596	 justo	el padre es <mask>.	bertin-project/bertin-base-gaussian-exp-512seqlen	male	0	10
