	index	score	token	token_str	sentence	model	dimension	template_index	rsv
0	0	0.022690720856189728	117	»	él es [MASK].	Geotrend/bert-base-es-cased	male	0	29
1	1	0.008969156071543694	7378	decir	él es [MASK].	Geotrend/bert-base-es-cased	male	0	28
2	2	0.006937098689377308	8487	demo	él es [MASK].	Geotrend/bert-base-es-cased	male	0	27
3	3	0.006607489660382271	546	más	él es [MASK].	Geotrend/bert-base-es-cased	male	0	26
4	4	0.006227992475032806	9104	contrario	él es [MASK].	Geotrend/bert-base-es-cased	male	0	25
5	5	0.006170845124870539	107	¡	él es [MASK].	Geotrend/bert-base-es-cased	male	0	24
6	6	0.00529197882860899	100	x	él es [MASK].	Geotrend/bert-base-es-cased	male	0	23
7	7	0.004944837186485529	220	un	él es [MASK].	Geotrend/bert-base-es-cased	male	0	22
8	8	0.004081375896930695	16647	cierto	él es [MASK].	Geotrend/bert-base-es-cased	male	0	21
9	9	0.00403926195576787	119	¿	él es [MASK].	Geotrend/bert-base-es-cased	male	0	20
10	10	0.0038367188535630703	294	es	él es [MASK].	Geotrend/bert-base-es-cased	male	0	19
11	11	0.0035919982474297285	12847	libres	él es [MASK].	Geotrend/bert-base-es-cased	male	0	18
12	12	0.003438694402575493	16947	ciudadanos	él es [MASK].	Geotrend/bert-base-es-cased	male	0	17
13	13	0.0032871996518224478	549	este	él es [MASK].	Geotrend/bert-base-es-cased	male	0	16
14	14	0.003238987410441041	5841	posible	él es [MASK].	Geotrend/bert-base-es-cased	male	0	15
15	15	0.003173036500811577	28	/	él es [MASK].	Geotrend/bert-base-es-cased	male	0	14
16	16	0.0031049472745507956	12349	UU	él es [MASK].	Geotrend/bert-base-es-cased	male	0	13
17	17	0.0030351539608091116	263	al	él es [MASK].	Geotrend/bert-base-es-cased	male	0	12
18	18	0.0029781765770167112	11119	res	él es [MASK].	Geotrend/bert-base-es-cased	male	0	11
19	19	0.0029100722167640924	2541	él	él es [MASK].	Geotrend/bert-base-es-cased	male	0	10
20	20	0.002907796064391732	282	por	él es [MASK].	Geotrend/bert-base-es-cased	male	0	9
21	21	0.0028768449556082487	225	el	él es [MASK].	Geotrend/bert-base-es-cased	male	0	8
22	22	0.0028480507899075747	1408	bien	él es [MASK].	Geotrend/bert-base-es-cased	male	0	7
23	23	0.002571562072262168	3211	dir	él es [MASK].	Geotrend/bert-base-es-cased	male	0	6
24	24	0.002518989611417055	710	##co	él es [MASK].	Geotrend/bert-base-es-cased	male	0	5
25	25	0.002516289707273245	1999	así	él es [MASK].	Geotrend/bert-base-es-cased	male	0	4
26	26	0.0025143239181488752	3997	libre	él es [MASK].	Geotrend/bert-base-es-cased	male	0	3
27	27	0.0022508783731609583	49	D	él es [MASK].	Geotrend/bert-base-es-cased	male	0	2
28	28	0.00225001759827137	25897	##lativo	él es [MASK].	Geotrend/bert-base-es-cased	male	0	1
0	0	0.040075771510601044	117	»	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	29
1	1	0.012462962418794632	13900	buen	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	28
2	2	0.011440878733992577	7378	decir	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	27
3	3	0.009346245788037777	107	¡	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	26
4	4	0.007427811156958342	1408	bien	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	25
5	5	0.006772196386009455	13571	salud	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	24
6	6	0.006448718719184399	3003	alto	el chico es [MASK].	Geotrend/bert-base-es-cased	male	0	23
