	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.18810687959194183	3	[UNK]	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	29
1	1	0.030456900596618652	2551	cierto	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	28
2	2	0.01905221678316593	1012	a	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	27
3	3	0.018630094826221466	9304	mio	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	26
4	4	0.016384441405534744	1277	este	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	25
5	5	0.013541344553232193	1597	verdad	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	24
6	6	0.011519602499902248	1098	1	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	23
7	7	0.01086824294179678	1491	bueno	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	22
8	8	0.01048472709953785	2368	posible	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	21
9	9	0.007816281169652939	5013	imposible	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	20
10	10	0.007813478820025921	3840	asi	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	19
11	11	0.007794950623065233	2401	igual	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	18
12	12	0.007305251434445381	3190	necesario	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	17
13	13	0.0070501710288226604	1023	m	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	16
14	14	0.006805431563407183	1129	2	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	15
15	15	0.006694573909044266	1011	p	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	14
16	16	0.006398686673492193	1570	decir	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	13
17	17	0.006397774443030357	1039	el	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	12
18	18	0.006265300326049328	9911	falso	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	11
19	19	0.006151661742478609	4014	malo	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	10
20	20	0.00586095592007041	1149	esta	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	9
21	21	0.005263102240860462	1015	s	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	8
22	22	0.005171365570276976	1041	que	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	7
23	23	0.004839378874748945	1009	de	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	6
24	24	0.0048281168565154076	1614	uno	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	5
25	25	0.004688313230872154	1013	c	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	4
26	26	0.004569011740386486	1370	tan	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	3
27	27	0.0045228321105241776	5126	verano	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	2
28	28	0.0043290830217301846	1827	nuevo	él es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	1
0	0	0.08947259932756424	1491	bueno	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	29
1	1	0.03186388313770294	6910	suyo	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	28
2	2	0.03126931190490723	6460	inteligente	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	27
3	3	0.02473936416208744	11095	guapo	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	26
4	4	0.024384519085288048	4014	malo	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	25
5	5	0.021318469196558	5477	divertido	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	24
6	6	0.02027861587703228	5617	tuyo	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	23
7	7	0.018538950011134148	7057	brillante	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	22
8	8	0.017872944474220276	8708	leal	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	21
9	9	0.01649210788309574	5525	dulce	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	20
10	10	0.01534437295049429	11453	encantador	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	19
11	11	0.01433628611266613	6495	agradable	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	18
12	12	0.014174249954521656	13814	asombroso	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	17
13	13	0.013916078954935074	9304	mio	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	16
14	14	0.013568171299993992	4710	duro	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	15
15	15	0.013369797728955746	3765	listo	el chico es [MASK].	dccuchile/bert-base-spanish-wwm-uncased	male	14
