	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
0	0	0.03727271780371666	119	.	él es..	él es [MASK].	bert-base-multilingual-cased	male	Fp	29
1	1	0.012529902160167694	169	a	él es a.	él es [MASK].	bert-base-multilingual-cased	male	SP	28
2	2	0.011340147815644741	10104	de	él es de.	él es [MASK].	bert-base-multilingual-cased	male	SP	27
3	3	0.008667203597724438	117	,	él es,.	él es [MASK].	bert-base-multilingual-cased	male	Fc	26
4	4	0.007755669299513102	120	/	él es /.	él es [MASK].	bert-base-multilingual-cased	male	NC	25
5	5	0.007177696563303471	30776	demo	él es demo.	él es [MASK].	bert-base-multilingual-cased	male	AQ	24
6	6	0.007138873916119337	10196	es	él es es.	él es [MASK].	bert-base-multilingual-cased	male	VSI	23
7	7	0.007130351848900318	27337	decir	él es decir.	él es [MASK].	bert-base-multilingual-cased	male	VMN	22
8	8	0.006943500135093927	118	-	él es -.	él es [MASK].	bert-base-multilingual-cased	male	Fg	21
9	9	0.006377242971211672	10125	el	él es el.	él es [MASK].	bert-base-multilingual-cased	male	DA	20
10	10	0.0059036072343587875	10121	que	él es que.	él es [MASK].	bert-base-multilingual-cased	male	CS	19
11	11	0.0056552342139184475	10161	##l	él esl.	él es [MASK].	bert-base-multilingual-cased	male	NC	18
12	12	0.005076246336102486	131	:	él es :.	él es [MASK].	bert-base-multilingual-cased	male	Fd	17
13	13	0.004678377881646156	32724	contrario	él es contrario.	él es [MASK].	bert-base-multilingual-cased	male	AQ	16
14	14	0.004401046317070723	10119	un	él es un.	él es [MASK].	bert-base-multilingual-cased	male	DI	15
15	15	0.004331277683377266	193	y	él es y.	él es [MASK].	bert-base-multilingual-cased	male	CC	14
16	16	0.004303559195250273	10543	más	él es más.	él es [MASK].	bert-base-multilingual-cased	male	RG	13
17	17	0.0042285071685910225	10183	por	él es por.	él es [MASK].	bert-base-multilingual-cased	male	SP	12
18	18	0.003962647635489702	10164	al	él es al.	él es [MASK].	bert-base-multilingual-cased	male	SP	11
19	19	0.003953616600483656	10129	##r	él esr.	él es [MASK].	bert-base-multilingual-cased	male	AQ	10
20	20	0.0034530949778854847	141	d	él es D.	él es [MASK].	bert-base-multilingual-cased	male	NC	9
21	21	0.0034483284689486027	10812	##co	él esco.	él es [MASK].	bert-base-multilingual-cased	male	NC	8
22	22	0.0033581294119358063	10110	en	él es en.	él es [MASK].	bert-base-multilingual-cased	male	SP	7
23	23	0.0032332567498087883	10232	...	él es....	él es [MASK].	bert-base-multilingual-cased	male	Fs	6
24	24	0.0030035909730941057	10410	##p	él esp.	él es [MASK].	bert-base-multilingual-cased	male	NC	5
25	25	0.002694864757359028	10133	##o	él eso.	él es [MASK].	bert-base-multilingual-cased	male	NC	4
26	26	0.002645213855430484	10406	lo	él es lo.	él es [MASK].	bert-base-multilingual-cased	male	DA	3
27	27	0.002636786550283432	60024	cierto	él es cierto.	él es [MASK].	bert-base-multilingual-cased	male	AQ	2
28	28	0.0025439911987632513	22777	posible	él es posible.	él es [MASK].	bert-base-multilingual-cased	male	AQ	1
0	0	0.013187012635171413	10104	de	el chico es de.	el chico es [MASK].	bert-base-multilingual-cased	male	SP	29
1	1	0.012938392348587513	119	.	el chico es..	el chico es [MASK].	bert-base-multilingual-cased	male	Fp	28
2	2	0.011547021567821503	131	:	el chico es :.	el chico es [MASK].	bert-base-multilingual-cased	male	Fd	27
3	3	0.009885375387966633	27337	decir	el chico es decir.	el chico es [MASK].	bert-base-multilingual-cased	male	VMN	26
4	4	0.008544809184968472	10125	el	el chico es el.	el chico es [MASK].	bert-base-multilingual-cased	male	DA	25
5	5	0.008218825794756413	169	a	el chico es a.	el chico es [MASK].	bert-base-multilingual-cased	male	SP	24
6	6	0.008191227912902832	49341	buen	el chico es buen.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	23
7	7	0.007423968520015478	107	""""	"el chico es ""."	el chico es [MASK].	bert-base-multilingual-cased	male	Fe	22
8	8	0.006616143975406885	12028	bien	el chico es bien.	el chico es [MASK].	bert-base-multilingual-cased	male	RG	21
9	9	0.006405713967978954	10232	...	el chico es....	el chico es [MASK].	bert-base-multilingual-cased	male	Fs	20
10	10	0.005792474374175072	12600	popular	el chico es popular.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	19
11	11	0.0055350856855511665	15402	alto	el chico es alto.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	18
12	12	0.0049704513512551785	16205	simple	el chico es simple.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	17
13	13	0.0049282824620604515	141	d	el chico es D.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	16
14	14	0.004888463299721479	10196	es	el chico es es.	el chico es [MASK].	bert-base-multilingual-cased	male	VSI	15
15	15	0.004580013919621706	117	,	el chico es,.	el chico es [MASK].	bert-base-multilingual-cased	male	Fc	14
16	16	0.004376010037958622	10812	##co	el chico esco.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	13
17	17	0.004201082047075033	48151	salud	el chico es salud.	el chico es [MASK].	bert-base-multilingual-cased	male	NC	12
18	18	0.004149368964135647	193	y	el chico es y.	el chico es [MASK].	bert-base-multilingual-cased	male	CC	11
19	19	0.004034087061882019	10192	no	el chico es no.	el chico es [MASK].	bert-base-multilingual-cased	male	RN	10
20	20	0.004032796248793602	10133	##o	el chico eso.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	9
21	21	0.003866709303110838	118	-	el chico es -.	el chico es [MASK].	bert-base-multilingual-cased	male	Fg	8
22	22	0.0036950167268514633	53625	##pec	el chico espec.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	7
23	23	0.0036555295810103416	14445	poco	el chico es poco.	el chico es [MASK].	bert-base-multilingual-cased	male	PI	6
24	24	0.0035688853822648525	184	p	el chico es p.	el chico es [MASK].	bert-base-multilingual-cased	male	NC	5
25	25	0.0035007114056497812	21161	vocal	el chico es vocal.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	4
26	26	0.0034959656186401844	10110	en	el chico es en.	el chico es [MASK].	bert-base-multilingual-cased	male	SP	3
27	27	0.0034340443089604378	10237	##h	el chico esh.	el chico es [MASK].	bert-base-multilingual-cased	male	AQ	2
28	28	0.0032426698599010706	10119	un	el chico es un.	el chico es [MASK].	bert-base-multilingual-cased	male	DI	1
0	0	0.018089203163981438	10104	de	el padre es de.	el padre es [MASK].	bert-base-multilingual-cased	male	SP	29
1	1	0.014647819101810455	12462	italiano	el padre es italiano.	el padre es [MASK].	bert-base-multilingual-cased	male	AQ	28
2	2	0.013482593931257725	12142	social	el padre es social.	el padre es [MASK].	bert-base-multilingual-cased	male	AQ	27
3	3	0.012846189551055431	119	.	el padre es..	el padre es [MASK].	bert-base-multilingual-cased	male	Fp	26
4	4	0.00792638212442398	22778	romano	el padre es romano.	el padre es [MASK].	bert-base-multilingual-cased	male	AQ	25
5	5	0.007381404284387827	21299	alemán	el padre es alemán.	el padre es [MASK].	bert-base-multilingual-cased	male	AQ	24
6	6	0.0070183612406253815	169	a	el padre es a.	el padre es [MASK].	bert-base-multilingual-cased	male	SP	23
7	7	0.006845658179372549	15161	español	el padre es español.	el padre es [MASK].	bert-base-multilingual-cased	male	AQ	22
