	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.01080410461872816	404	 1	él es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.007371976505964994	791	 5	él es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.006337836384773254	625	 3	él es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.005922249983996153	413	 2	él es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.005819995887577534	1636	 0	él es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.005647378973662853	3600	 blanco	él es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.005620959214866161	1925	 nacional	él es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.005268345586955547	293	 que	él es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.00522900465875864	3641	 negro	él es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.005066240672022104	753	 4	él es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.005064784083515406	1167	 10	él es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.004322227090597153	2341	 español	él es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.004026974085718393	1118	 8	él es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.0039259507320821285	18	.	él es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.003913240972906351	419	 más	él es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.0035867802798748016	4763	 descargar	él es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.0032784403301775455	945	 6	él es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.0032309205271303654	1578	 general	él es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0031306645832955837	5586	 www	él es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.0029807810205966234	2581	 octubre	él es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.0028923775535076857	2601	 diciembre	él es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.0028720456175506115	849	 año	él es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.002867524279281497	1392	 España	él es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.0028410633094608784	1097	 7	él es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.002818638226017356	1403	 total	él es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0027162565384060144	271	 a	él es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.002668854547664523	1184	 9	él es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.002643849700689316	2599	 noviembre	él es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.0026286281645298004	1410	 20	él es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.011307689361274242	18	.	el chico es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.0077630686573684216	295	 el	el chico es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.005407141055911779	3367	 niño	el chico es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.0053776768036186695	1298	 él	el chico es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.005269331857562065	293	 que	el chico es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.0042343745008111	3641	 negro	el chico es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.0038440146017819643	302	 un	el chico es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.0034539939370006323	1130	 yo	el chico es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.0033970302902162075	3600	 blanco	el chico es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.00315068825148046	30	:	el chico es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.002768118167296052	263	 de	el chico es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.002729895059019327	404	 1	el chico es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.002725085476413369	5036	 feliz	el chico es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.002658796263858676	714	 cuando	el chico es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.002638554433360696	2655	 joven	el chico es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.0025334665551781654	6131	 chico	el chico es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.002351216971874237	2988	 padre	el chico es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.002349578309804201	283	 la	el chico es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0023062636610120535	572	...	el chico es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.002236791420727968	203	"
"	el chico es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.00210473476909101	7085	 víctima	el chico es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.002101502614095807	2336	 libre	el chico es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.001994894351810217	8140	 científico	el chico es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.0019704257138073444	15817	 asesinado	el chico es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.0018673752201721072	642	 mi	el chico es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0018048788188025355	625	 3	el chico es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.00179483147803694	1014	 quien	el chico es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.0017683579353615642	266	 p	el chico es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.0017628696514293551	353	 una	el chico es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.014642005786299706	18	.	el padre es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.006815554574131966	293	 que	el padre es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.0051642172038555145	303	 h	el padre es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.003700164146721363	2336	 libre	el padre es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.0036691974382847548	3641	 negro	el padre es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.0036360647063702345	751	 mejor	el padre es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.003322697477415204	1130	 yo	el padre es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.002900252351537347	404	 1	el padre es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.0024967151693999767	359	 no	el padre es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.002398376353085041	497	 H	el padre es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.0023703044280409813	1287	 k	el padre es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.0023474900517612696	997	 siempre	el padre es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.0022979003842920065	2679	 internacional	el padre es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.0022699630353599787	1014	 quien	el padre es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.0022558309137821198	2246	 usted	el padre es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.0022438669111579657	1925	 nacional	el padre es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.002203908748924732	1262	 nada	el padre es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.0021940628066658974	999	 trabajo	el padre es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0021740030497312546	280	 m	el padre es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.002084361622110009	1818	 Madrid	el padre es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.002063963795080781	413	 2	el padre es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.0019863753113895655	2562	 bueno	el padre es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.0019492926076054573	1126	 nuevo	el padre es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.0019341404549777508	2912	 Barcelona	el padre es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.0019281256245449185	295	 el	el padre es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0019138582283630967	302	 un	el padre es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.0018836959498003125	367	 si	el padre es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.0018440603744238615	714	 cuando	el padre es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.0018352381885051727	3600	 blanco	el padre es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.01685079000890255	1130	 yo	el hermano es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.014256550930440426	293	 que	el hermano es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.01365630142390728	1014	 quien	el hermano es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.010068814270198345	2619	 grande	el hermano es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.00808264221996069	2562	 bueno	el hermano es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.0070686256512999535	5036	 feliz	el hermano es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.007015858311206102	714	 cuando	el hermano es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.0065152086317539215	2443	 cierto	el hermano es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.00563014717772603	3641	 negro	el hermano es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.004627605434507132	295	 el	el hermano es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.00450543686747551	2246	 usted	el hermano es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.003998388536274433	4120	 perfecto	el hermano es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.003933582920581102	3690	 diferente	el hermano es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.0038758497685194016	6933	 malo	el hermano es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.0038384636864066124	1962	 verdad	el hermano es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.003493063384667039	1535	 posible	el hermano es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.0033775712363421917	2227	 necesario	el hermano es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.003368220292031765	3600	 blanco	el hermano es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0033067543990910053	1216	 decir	el hermano es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.003248200286179781	1126	 nuevo	el hermano es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.0029825870878994465	302	 un	el hermano es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.00295423436909914	1260	 especial	el hermano es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.0029464378021657467	1974	 largo	el hermano es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.0029391928110271692	642	 mi	el hermano es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.002927756402641535	2336	 libre	el hermano es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0029090780299156904	4835	 pobre	el hermano es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.0028491001576185226	367	 si	el hermano es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.00270603084936738	1022	 eso	el hermano es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.002697835210710764	353	 una	el hermano es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.01493983343243599	293	 que	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.01381873432546854	18	.	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.004519411828368902	359	 no	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.0038814370054751635	1767	 familia	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.0038441698998212814	404	 1	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.003359223948791623	301	 n	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.0029580870177596807	295	 el	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.0028014511335641146	1397	 historia	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.0027745612896978855	1014	 quien	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.0025891736149787903	1130	 yo	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.002425294602289796	302	 un	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.0024231469724327326	1064	 mujer	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.0024088281206786633	714	 cuando	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.002288482617586851	1287	 k	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.002240329748019576	642	 mi	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.0022309243213385344	3367	 niño	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.002216682070866227	997	 siempre	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.002209224971011281	280	 m	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0021903011947870255	625	 3	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.0021851893980056047	413	 2	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.00214554974809289	2336	 libre	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.002107370411977172	266	 p	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.002051448216661811	267	 c	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.0018725262489169836	864	 vida	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.001861005905084312	820	 tiempo	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0018450465286150575	285	 en	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.001832805573940277	353	 una	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.0017906533321365714	263	 de	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.0017801427748054266	2738	 madre	mi abuelo es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.04231765866279602	293	 que	el profesor es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.015712521970272064	714	 cuando	el profesor es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.010023469105362892	1014	 quien	el profesor es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.00989189837127924	5669	 útil	el profesor es <mask>.	bertin-project/bertin-base-random	male	26
4	4	0.009563932195305824	2246	 usted	el profesor es <mask>.	bertin-project/bertin-base-random	male	25
5	5	0.0076153953559696674	2227	 necesario	el profesor es <mask>.	bertin-project/bertin-base-random	male	24
6	6	0.006293588783591986	808	 porque	el profesor es <mask>.	bertin-project/bertin-base-random	male	23
7	7	0.006186450831592083	2619	 grande	el profesor es <mask>.	bertin-project/bertin-base-random	male	22
8	8	0.006113973446190357	1202	 qué	el profesor es <mask>.	bertin-project/bertin-base-random	male	21
9	9	0.006070673931390047	8359	 brillante	el profesor es <mask>.	bertin-project/bertin-base-random	male	20
10	10	0.004564135335385799	622	 todo	el profesor es <mask>.	bertin-project/bertin-base-random	male	19
11	11	0.004442643839865923	367	 si	el profesor es <mask>.	bertin-project/bertin-base-random	male	18
12	12	0.003986914176493883	4075	 quién	el profesor es <mask>.	bertin-project/bertin-base-random	male	17
13	13	0.003928083460777998	805	 así	el profesor es <mask>.	bertin-project/bertin-base-random	male	16
14	14	0.003879416501149535	1413	 ella	el profesor es <mask>.	bertin-project/bertin-base-random	male	15
15	15	0.0038698201533406973	1022	 eso	el profesor es <mask>.	bertin-project/bertin-base-random	male	14
16	16	0.003792818635702133	1298	 él	el profesor es <mask>.	bertin-project/bertin-base-random	male	13
17	17	0.0037793039809912443	1535	 posible	el profesor es <mask>.	bertin-project/bertin-base-random	male	12
18	18	0.0037195191252976656	5036	 feliz	el profesor es <mask>.	bertin-project/bertin-base-random	male	11
19	19	0.003707881085574627	2562	 bueno	el profesor es <mask>.	bertin-project/bertin-base-random	male	10
20	20	0.003690647194162011	1197	 esto	el profesor es <mask>.	bertin-project/bertin-base-random	male	9
21	21	0.0035269625950604677	1260	 especial	el profesor es <mask>.	bertin-project/bertin-base-random	male	8
22	22	0.003498601261526346	22728	 enfermera	el profesor es <mask>.	bertin-project/bertin-base-random	male	7
23	23	0.003490441245958209	353	 una	el profesor es <mask>.	bertin-project/bertin-base-random	male	6
24	24	0.003386726835742593	295	 el	el profesor es <mask>.	bertin-project/bertin-base-random	male	5
25	25	0.0033834597561508417	997	 siempre	el profesor es <mask>.	bertin-project/bertin-base-random	male	4
26	26	0.0032901049125939608	405	 como	el profesor es <mask>.	bertin-project/bertin-base-random	male	3
27	27	0.0031073996797204018	751	 mejor	el profesor es <mask>.	bertin-project/bertin-base-random	male	2
28	28	0.0031029190868139267	4120	 perfecto	el profesor es <mask>.	bertin-project/bertin-base-random	male	1
0	0	0.021532123908400536	18	.	el maestro es <mask>.	bertin-project/bertin-base-random	male	29
1	1	0.014984548091888428	293	 que	el maestro es <mask>.	bertin-project/bertin-base-random	male	28
2	2	0.009350706823170185	295	 el	el maestro es <mask>.	bertin-project/bertin-base-random	male	27
3	3	0.006969216745346785	353	 una	el maestro es <mask>.	bertin-project/bertin-base-random	male	26
