	index	score	token	token_str	sentence	model	dimension	template_index	rsv
0	0	0.369192898273468	29	:	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	29
1	1	0.052904993295669556	17	.	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	28
2	2	0.04827245697379112	291	 el	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	27
3	3	0.02979171648621559	3551	 menor	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	26
4	4	0.028886593878269196	2109	 aplicable	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	25
5	5	0.022265711799263954	15	,	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	24
6	6	0.02091929316520691	271	 la	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	23
7	7	0.01851806789636612	2280	 producto	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	22
8	8	0.016681943088769913	1636	 superior	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	21
9	9	0.013404329307377338	6564	 diferente	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	20
10	10	0.013078168965876102	411	 una	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	19
11	11	0.010024195536971092	3287	 responsable	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	18
12	12	0.009487134404480457	812	 0	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	17
13	13	0.008748805150389671	2512	 decir	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	16
14	14	0.008602455258369446	1379	 mayor	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	15
15	15	0.008239829912781715	334	 un	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	14
16	16	0.007834742777049541	2294	 competente	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	13
17	17	0.00716280797496438	2439	 titular	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	12
18	18	0.0068695638328790665	1564	 nacional	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	11
19	19	0.0059241545386612415	16	-	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	10
20	20	0.0057741375640034676	1796	 miembro	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	9
21	21	0.0057291206903755665	1597	 otro	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	8
22	22	0.00567693030461669	2419	 inferior	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	7
23	23	0.005476586055010557	1563	 otra	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	6
24	24	0.004885652102530003	1577	 uno	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	5
25	25	0.004862234927713871	4831	 independiente	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	4
26	26	0.004723649937659502	1974	 natural	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	3
27	27	0.004632794298231602	5849	 humano	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	2
28	28	0.004556932486593723	336	 su	él es <mask>.	BSC-TeMU/RoBERTalex	male	0	1
0	0	0.11712462455034256	17	.	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	29
1	1	0.05972529947757721	302	 que	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	28
2	2	0.044794462621212006	0	<s>	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	27
3	3	0.0236536655575037	15	,	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	26
4	4	0.015232614241540432	261	 de	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	25
5	5	0.01505917776376009	12	)	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	24
6	6	0.012712636031210423	29	:	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	23
7	7	0.011346808634698391	294	 y	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	22
8	8	0.009980612434446812	308	 del	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	21
9	9	0.008839420042932034	291	 el	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	20
10	10	0.007464779075235128	10121	 blanco	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	19
11	11	0.005362864583730698	30	;	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	18
12	12	0.005114602856338024	607	ico	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	17
13	13	0.004921393934637308	3752	dor	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	16
14	14	0.00396355427801609	290	 en	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	15
15	15	0.0038653502706438303	1695	eno	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	14
16	16	0.00384061923250556	271	 la	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	13
17	17	0.0038016964681446552	2242	 donde	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	12
18	18	0.0036648144014179707	499	ido	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	11
19	19	0.0036633554846048355	340	 1	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	10
20	20	0.003247568616643548	202	"
"	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	9
21	21	0.003231438808143139	320	te	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	8
22	22	0.002666965825483203	385	 no	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	7
23	23	0.002631180454045534	520	ador	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	6
24	24	0.002590400166809559	468	 El	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	5
25	25	0.0024532878305763006	310	to	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	4
26	26	0.0024397089146077633	2290	ano	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	3
27	27	0.002172287553548813	554	 si	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	2
28	28	0.0021556878928095102	1322	 %	el chico es <mask>.	BSC-TeMU/RoBERTalex	male	0	1
0	0	0.15459759533405304	29	:	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	29
1	1	0.0771402046084404	5510	 hijo	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	28
2	2	0.06287521868944168	2439	 titular	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	27
3	3	0.04517163336277008	1527	 mujer	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	26
4	4	0.037691451609134674	291	 el	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	25
5	5	0.03538006544113159	3551	 menor	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	24
6	6	0.032137416303157806	7431	 madre	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	23
7	7	0.029281381517648697	334	 un	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	22
8	8	0.02085147798061371	1796	 miembro	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	21
9	9	0.01717892661690712	17	.	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	20
10	10	0.01449138205498457	411	 una	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	19
11	11	0.013664785772562027	9673	 hombre	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	18
12	12	0.011878479272127151	1564	 nacional	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	17
13	13	0.01179538480937481	271	 la	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	16
14	14	0.008238873444497585	1789	 persona	el padre es <mask>.	BSC-TeMU/RoBERTalex	male	0	15
