	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.019736401736736298	6933	 malo	él es <mask>.	bertin-project/bertin-base-gaussian	male	29
1	1	0.0169102493673563	3561	 humano	él es <mask>.	bertin-project/bertin-base-gaussian	male	28
2	2	0.016601230949163437	1910	 Dios	él es <mask>.	bertin-project/bertin-base-gaussian	male	27
3	3	0.014427952468395233	2562	 bueno	él es <mask>.	bertin-project/bertin-base-gaussian	male	26
4	4	0.013271297328174114	1834	 amor	él es <mask>.	bertin-project/bertin-base-gaussian	male	25
5	5	0.010745723731815815	2619	 grande	él es <mask>.	bertin-project/bertin-base-gaussian	male	24
6	6	0.010235185734927654	4869	 verde	él es <mask>.	bertin-project/bertin-base-gaussian	male	23
7	7	0.010076657868921757	1482	 agua	él es <mask>.	bertin-project/bertin-base-gaussian	male	22
8	8	0.009457950480282307	2843	 fuerte	él es <mask>.	bertin-project/bertin-base-gaussian	male	21
9	9	0.009023401886224747	3641	 negro	él es <mask>.	bertin-project/bertin-base-gaussian	male	20
10	10	0.008941926062107086	4195	 oro	él es <mask>.	bertin-project/bertin-base-gaussian	male	19
11	11	0.00619236147031188	4120	 perfecto	él es <mask>.	bertin-project/bertin-base-gaussian	male	18
12	12	0.0058961049653589725	1962	 verdad	él es <mask>.	bertin-project/bertin-base-gaussian	male	17
13	13	0.005545912776142359	1778	 hombre	él es <mask>.	bertin-project/bertin-base-gaussian	male	16
14	14	0.005422279704362154	864	 vida	él es <mask>.	bertin-project/bertin-base-gaussian	male	15
15	15	0.005374386440962553	1049	 otro	él es <mask>.	bertin-project/bertin-base-gaussian	male	14
16	16	0.004777912981808186	622	 todo	él es <mask>.	bertin-project/bertin-base-gaussian	male	13
17	17	0.0046801320277154446	852	 uno	él es <mask>.	bertin-project/bertin-base-gaussian	male	12
18	18	0.004339342471212149	3690	 diferente	él es <mask>.	bertin-project/bertin-base-gaussian	male	11
19	19	0.004285055212676525	10380	 mío	él es <mask>.	bertin-project/bertin-base-gaussian	male	10
20	20	0.004273615777492523	9060	 débil	él es <mask>.	bertin-project/bertin-base-gaussian	male	9
21	21	0.0042348578572273254	1392	 España	él es <mask>.	bertin-project/bertin-base-gaussian	male	8
22	22	0.004215822089463472	5514	 Cristo	él es <mask>.	bertin-project/bertin-base-gaussian	male	7
23	23	0.004113754723221064	2341	 español	él es <mask>.	bertin-project/bertin-base-gaussian	male	6
24	24	0.004050212446600199	4197	 azul	él es <mask>.	bertin-project/bertin-base-gaussian	male	5
25	25	0.00370678654871881	12216	 mentira	él es <mask>.	bertin-project/bertin-base-gaussian	male	4
26	26	0.0035839700140058994	2436	 luz	él es <mask>.	bertin-project/bertin-base-gaussian	male	3
27	27	0.003532209899276495	11989	 pecado	él es <mask>.	bertin-project/bertin-base-gaussian	male	2
28	28	0.0035213581286370754	419	 más	él es <mask>.	bertin-project/bertin-base-gaussian	male	1
0	0	0.12763123214244843	6933	 malo	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	29
1	1	0.052555833011865616	2562	 bueno	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	28
2	2	0.019645366817712784	21683	 tonto	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	27
3	3	0.01903015933930874	21813	 feo	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	26
4	4	0.01798757165670395	3641	 negro	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	25
5	5	0.01581514999270439	1834	 amor	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	24
6	6	0.015373396687209606	2619	 grande	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	23
7	7	0.013785935007035732	6131	 chico	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	22
8	8	0.0117385508492589	8518	 gay	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	21
9	9	0.011275351978838444	4120	 perfecto	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	20
10	10	0.010035593993961811	11958	 mierda	el chico es <mask>.	bertin-project/bertin-base-gaussian	male	19
