[CAT]	Count	PRC_Count	Points	PRC_points
[???]	8	28.571428571428573	120	32.25806451612903
[COLOR]	2	7.142857142857143	12	3.225806451612903
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	1	3.5714285714285716	1	0.26881720430107525
[EXTERIOR]	9	32.142857142857146	128	34.40860215053763
[FISICO]	0	0.0	0	0.0
[INTERIOR]	0	0.0	0	0.0
[ITEM]	1	3.5714285714285716	19	5.10752688172043
[LUGAR]	0	0.0	0	0.0
[NSNC]	1	3.5714285714285716	29	7.795698924731183
[PERSONALIDAD]	5	17.857142857142858	63	16.93548387096774
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	28	100.0	372	100.0
