Visible_+,count

[MASC]	 	[FEM]	[model_name]
10	<	17	BSC-TeMU/roberta-base-bne
11	<	16	BSC-TeMU/roberta-large-bne
12	<	14	dccuchile/bert-base-spanish-wwm-uncased
10	<	15	dccuchile/bert-base-spanish-wwm-cased
9	<	15	mrm8488/electricidad-base-generator
6	<	12	MMG/mlm-spanish-roberta-base
10	<	15	bertin-project/bertin-roberta-base-spanish
8	<	10	bert-base-multilingual-cased
13	<	16	bertin-project/bertin-base-random
14	<	18	bertin-project/bertin-base-stepwise
10	<	15	bertin-project/bertin-base-gaussian
11	<	14	bertin-project/bertin-base-random-exp-512seqlen
11	<	13	bertin-project/bertin-base-stepwise-exp-512seqlen
11	<	17	bertin-project/bertin-base-gaussian-exp-512seqlen
9	<	10	amine/bert-base-5lang-cased
11	<	12	Geotrend/bert-base-es-cased
7	>	6	BSC-TeMU/RoBERTalex
7	<	10	Recognai/distilbert-base-es-multilingual-cased
10	<	12	flax-community/alberti-bert-base-multilingual-cased
7	<	10	Geotrend/distilbert-base-es-cased
