[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	80	100.0	1982	100.0	0.8626685090801309	100.0
[???]	56	70.0	1622	81.83652875882946	0.5999839780470033	69.54977163670553
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	2	2.5	9	0.45408678102926336	0.01449863682501018	1.6806730131450112
Otros	6	7.5	183	9.233097880928355	0.0834518544730686	9.673687354376002
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	3	3.75	44	2.2199798183652875	0.03821928954372803	4.430356404742478
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	1.25	8	0.4036326942482341	0.006859260378405452	0.7951212205160387
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	1	1.25	1	0.050454086781029264	0.005970722530037165	0.6921224627063047
Educación	1	1.25	1	0.050454086781029264	0.010096459649503231	1.1703753577685538
Construción	1	1.25	13	0.6559031281533805	0.01659335692723592	1.9234916717812645
Comercio	1	1.25	2	0.10090817356205853	0.01372249610722065	1.5907032611927654
CientTechProf	5	6.25	44	2.2199798183652875	0.04033029840017358	4.675063245693069
Arte Entret	3	3.75	55	2.7749747729566097	0.03294215619874497	3.81863437137301
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	0	0.0	0	0.0	0	0.0
