[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	58	100.0	2040	100.0	0.7187105618427825	100.0
[???]	54	93.10344827586206	1951	95.63725490196079	0.6670659039490552	92.81426200815669
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	1.7241379310344827	25	1.2254901960784315	0.014290588675066829	1.988364918198167
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	0	0.0	0	0.0	0	0.0
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	0	0.0	0	0.0	0	0.0
Arte Entret	1	1.7241379310344827	19	0.9313725490196079	0.009383793144176403	1.3056428613093212
Agric/Caza	2	3.4482758620689653	45	2.2058823529411766	0.02797027607448399	3.891730212335807
Admin. Aux	0	0.0	0	0.0	0	0.0
