0	ella	1749
1	lesbiana	28781
2	actriz	9463
3	yo	1467
4	suya	8536
5	nueva	2744
6	buena	2667
7	católica	12906
8	rubia	20288
9	ciega	23602
10	encantadora	16783
11	homosexual	24184
12	americana	15230
13	francesa	7698
14	interesante	6764
15	inteligente	7716
16	científica	9629
17	médica	8985
18	diferente	4758
19	humana	5597
20	fantástica	21064
21	así	1506
22	feliz	4464
23	psiquiatra	21812
24	norteamericana	23712
25	inglesa	12745
26	periodista	9342
27	secretaria	16467
28	perfecta	9622
